productId,url,name,brand,memory,disk,cpu,gpu,price
6072614,https://item.jd.com/6072614.html,ThinkPad翼480, ThinkPad,8G,256G固态,,AMD Radeon RX550 2GB GDDR5 独立显存,5499.0
5225346,https://item.jd.com/5225346.html,AppleMQD32CH/A, Apple,其他,128G固态,,,6088.0
6888588,https://item.jd.com/6888588.html,联想小新, 联想（Lenovo）,8G,,,Radeon 535,5399.0
8461498,https://item.jd.com/8461498.html,联想拯救者, 联想（Lenovo）,8G,,,GTX1060,8499.0
8697179,https://item.jd.com/8697179.html,联想小新Air, 联想（Lenovo）,8G,512G固态,,MX150 GDDR5 2G,5899.0
7435156,https://item.jd.com/7435156.html,惠普暗影精灵4代, 惠普（HP）,8G,128G+1T,,GTX1060,7599.0
7102519,https://item.jd.com/7102519.html,联想小新, 联想（Lenovo）,8G,,,Radeon 535,6299.0
8461492,https://item.jd.com/8461492.html,联想Lenovo小新潮7000, 联想（Lenovo）,8G,512G固态,,NVIDIA GeForce MX150 GDDR5 2G,6299.0
8249520,https://item.jd.com/8249520.html,联想拯救者, 联想（Lenovo）,8G,128G+1T,,GTX1060,7699.0
8461490,https://item.jd.com/8461490.html,联想拯救者, 联想（Lenovo）,8G,,,GTX1050Ti,7299.0
100000011341,https://item.jd.com/100000011341.html,小米小米笔记本, 小米（MI）,8G,128G+1T,,NVIDIA GeForce MX110,4999.0
8776188,https://item.jd.com/8776188.html,华硕a豆, 华硕（ASUS）,8G,256G固态,,NVIDIA GeForce MX150,4799.0
3948470,https://item.jd.com/3948470.html,ThinkPadE470, ThinkPad,8G,500G,,NVIDIA GeForce 920MX,4799.0
7382138,https://item.jd.com/7382138.html,联想扬天, 联想（Lenovo）,8G,256G固态,,MX150,5199.0
7629588,https://item.jd.com/7629588.html,AppleMacBook Pro, Apple,8G,256G固态,,,13888.0
7649609,https://item.jd.com/7649609.html,惠普暗影精灵4代, 惠普（HP）,8G,128G+1T,,GTX1060,9199.0
8477015,https://item.jd.com/8477015.html,小米游戏笔记本, 小米（MI）,8G,256G+1T,,GTX1060,8999.0
100000323510,https://item.jd.com/100000323510.html,华为荣耀MagicBook, 华为（HUAWEI）,8G,512G固态,,Radeon Vega8 Graphics,4599.0
100000157826,https://item.jd.com/100000157826.html,戴尔灵越, 戴尔（DELL）,8G,128G+1T,,,6599.0
100000117756,https://item.jd.com/100000117756.html,戴尔灵越, 戴尔（DELL）,8G,256G固态,,,6499.0
4331185,https://item.jd.com/4331185.html,AppleMPXT2CH/A, Apple,8G,256G固态,,,11488.0
6076609,https://item.jd.com/6076609.html,ThinkPad翼480, ThinkPad,8G,128G+1T,,AMD Radeon RX550 2GB GDDR5 独立显存,6999.0
6274950,https://item.jd.com/6274950.html,小米Air, 小米（MI）,8G,256G固态,,NVIDIA GeForce MX150 独立显卡,5399.0
7842699,https://item.jd.com/7842699.html,AppleMacBook Pro, Apple,16G,256G固态,,Radeon Pro 555X 图形处理器,17888.0
100000419409,https://item.jd.com/100000419409.html,戴尔灵越, 戴尔（DELL）,8G,256G固态,,,5199.0
7886481,https://item.jd.com/7886481.html,联想拯救者, 联想（Lenovo）,8G,,,GTX1050,5999.0
100000255880,https://item.jd.com/100000255880.html,戴尔G3, 戴尔（DELL）,8G,128G+1T,,GTX1050Ti,6299.0
8461496,https://item.jd.com/8461496.html,联想拯救者, 联想（Lenovo）,16G,512G固态,,GTX1060,10999.0
7555189,https://item.jd.com/7555189.html,戴尔G3, 戴尔（DELL）,8G,128G+1T,,GTX1060,7999.0
100000376340,https://item.jd.com/100000376340.html,戴尔灵越, 戴尔（DELL）,8G,256G固态,,,5699.0
7435168,https://item.jd.com/7435168.html,惠普暗影精灵4代, 惠普（HP）,16G,128G+1T,,GTX1060,9899.0
8596169,https://item.jd.com/8596169.html,ThinkPadE480, ThinkPad,4G,500G,,,3299.0
8173852,https://item.jd.com/8173852.html,华硕S4300, 华硕（ASUS）,8G,256G固态,,MX150,5799.0
7158950,https://item.jd.com/7158950.html,ThinkPadX280, ThinkPad,8G,256G固态,,英特尔 UHD 620显示芯片,6999.0
100000180173,https://item.jd.com/100000180173.html,戴尔成就, 戴尔（DELL）,8G,256G固态,,,4599.0
7435182,https://item.jd.com/7435182.html,惠普暗影精灵4代, 惠普（HP）,16G,256G+1T,,GTX1070,12999.0
5225342,https://item.jd.com/5225342.html,AppleMPXU2CH/A, Apple,8G,256G固态,,,11488.0
7269873,https://item.jd.com/7269873.html,小米Air, 小米（MI）,8G,256G固态,,NVIDIA GeForce MX150 独立显卡,5999.0
100000273867,https://item.jd.com/100000273867.html,戴尔灵越, 戴尔（DELL）,8G,128G+1T,,,5699.0
8986939,https://item.jd.com/8986939.html,华硕a豆, 华硕（ASUS）,8G,256G固态,,NVIDIA GeForce MX150,4799.0
100000016920,https://item.jd.com/100000016920.html,戴尔G7, 戴尔（DELL）,8G,128G+1T,,GTX1050Ti,6599.0
6396373,https://item.jd.com/6396373.html,华硕S4100V, 华硕（ASUS）,8G,128G+1T,,MX150,5299.0
5456134,https://item.jd.com/5456134.html,小米pro, 小米（MI）,16G,256G固态,,NVIDIA GeForce MX150独立显卡,6999.0
4730611,https://item.jd.com/4730611.html,微软Surface Pro, 微软（Microsoft）,,,,,8288.0
5025869,https://item.jd.com/5025869.html,戴尔XPS, 戴尔（DELL）,8G,256G固态,,Intel UHD Graphics 620,7699.0
7629508,https://item.jd.com/7629508.html,AppleMacBook Pro, Apple,8G,256G固态,,,13888.0
100000511472,https://item.jd.com/100000511472.html,惠普星13, 惠普（HP）,8G,256G固态,,Intel UHD Graphics 620,4999.0
100000208933,https://item.jd.com/100000208933.html,华硕FX86, 华硕（ASUS）,8G,256G+1T,,GTX1050Ti,6699.0
7690501,https://item.jd.com/7690501.html,联想扬天, 联想（Lenovo）,8G,1T,,AMD Radeon 530 2G DDR5,3795.0
100000068472,https://item.jd.com/100000068472.html,华硕FX86, 华硕（ASUS）,8G,256G+1T,,GTX1050Ti,7699.0
7341432,https://item.jd.com/7341432.html,戴尔G3, 戴尔（DELL）,8G,128G+1T,,GTX1050Ti,6999.0
8477013,https://item.jd.com/8477013.html,小米游戏笔记本, 小米（MI）,8G,256G+1T,,,6699.0
100000018405,https://item.jd.com/100000018405.html,华硕a豆, 华硕（ASUS）,4G,256G固态,,Intel UHD Graphics 620,3499.0
100000012890,https://item.jd.com/100000012890.html,机械革命 深海幽灵Z2, 机械革命（MECHREVO）,8G,512G固态,,GTX1050Ti,7999.0
7463803,https://item.jd.com/7463803.html,神舟精盾, 神舟（HASEE）,16G,256G+1T,,NVIDIA GTX1070,10999.0
4752553,https://item.jd.com/4752553.html,联想Lenovo小新潮7000, 联想（Lenovo）,8G,256G固态,,NVIDIA GeForce MX150 GDDR5 2G,5199.0
7842695,https://item.jd.com/7842695.html,AppleMacBook Pro, Apple,16G,512G固态,,,21488.0
8674545,https://item.jd.com/8674545.html,联想Lenovo小新潮7000, 联想（Lenovo）,8G,512G固态,,NVIDIA GeForce MX150 GDDR5 2G,6299.0
7588521,https://item.jd.com/7588521.html,惠普EliteBook700, 惠普（HP）,8G,256G固态,,,4799.0
4471771,https://item.jd.com/4471771.html,AppleMacBook Air, Apple,8G,128G固态,,,7088.0
7042933,https://item.jd.com/7042933.html,雷神911, 雷神（ThundeRobot）,8G,128G+1T,,GTX1050,6488.0
5911154,https://item.jd.com/5911154.html,戴尔成就, 戴尔（DELL）,8G,256G固态,,,4599.0
4371830,https://item.jd.com/4371830.html,神舟战神Z7M-KP7GT, 神舟（HASEE）,8G,128G+1T,,GTX1050Ti,5799.0
28206239565,https://item.jd.com/28206239565.html,华硕（ASUS） 旗舰店 轻薄PX554 15.6英寸手提笔记本电脑 银灰色 i5-8250U/8G/256G SSD, 华硕（ASUS）,8G,256G固态,,,4399.0
8776192,https://item.jd.com/8776192.html,华硕a豆, 华硕（ASUS）,4G,256G固态,,Intel UHD Graphics 620,3499.0
100000060090,https://item.jd.com/100000060090.html,ThinkPadE485, ThinkPad,8G,256G固态,,,4599.0
7588517,https://item.jd.com/7588517.html,ThinkPadS2, ThinkPad,8G,256G固态,,英特尔 UHD 620显示芯片,5299.0
6063599,https://item.jd.com/6063599.html,联想Ideapad, 联想（Lenovo）,4G,1T,,NVIDIA GeForce920MX 2G GDDR5,3999.0
100000350936,https://item.jd.com/100000350936.html,惠普星系列 14, 惠普（HP）,8G,128G+1T,,,5499.0
6535936,https://item.jd.com/6535936.html,ThinkPad翼480, ThinkPad,16G,256G+1T,,AMD Radeon RX550 2GB GDDR5 独立显存,8499.0
7748390,https://item.jd.com/7748390.html,惠普HP ZHAN 66 Pro G1, 惠普（HP）,8G,,,Nvidia GeForce MX150,6499.0
8674551,https://item.jd.com/8674551.html,联想小新, 联想（Lenovo）,8G,256G固态,,,4999.0
100000011363,https://item.jd.com/100000011363.html,戴尔飞匣, 戴尔（DELL）,4G,500G,,,3499.0
5050164,https://item.jd.com/5050164.html,戴尔成就, 戴尔（DELL）,8G,256G固态,,,4999.0
7629548,https://item.jd.com/7629548.html,AppleMacBook Pro, Apple,8G,256G固态,,,15388.0
6949859,https://item.jd.com/6949859.html,华为MateBook X Pro, 华为（HUAWEI）,8G,256G固态,,,7988.0
7842691,https://item.jd.com/7842691.html,AppleMacBook Pro, Apple,16G,256G固态,,,16988.0
8195766,https://item.jd.com/8195766.html,机械革命S1, 机械革命（MECHREVO）,8G,256G固态,,MX150,5699.0
7632553,https://item.jd.com/7632553.html,ThinkPadT480, ThinkPad,8G,500G,,英特尔UHD 620显示芯片,6599.0
7748392,https://item.jd.com/7748392.html,惠普HP ZHAN 66 Pro G1, 惠普（HP）,8G,,,Nvidia GeForce MX150,5699.0
7341434,https://item.jd.com/7341434.html,戴尔G3, 戴尔（DELL）,8G,128G+1T,,GTX1060,6999.0
7332727,https://item.jd.com/7332727.html,神舟精盾, 神舟（HASEE）,8G,256G固态,,GTX 1050 ti,5499.0
7649695,https://item.jd.com/7649695.html,惠普暗影精灵4代, 惠普（HP）,8G,128G+1T,,GTX1050Ti,7199.0
6736180,https://item.jd.com/6736180.html,华为MateBook X Pro, 华为（HUAWEI）,8G,256G固态,,,7988.0
7269871,https://item.jd.com/7269871.html,小米Air, 小米（MI）,8G,256G固态,,NVIDIA GeForce MX150 独立显卡,5399.0
6076611,https://item.jd.com/6076611.html,ThinkPad翼480, ThinkPad,8G,256G+1T,,AMD Radeon RX550 2GB GDDR5 独立显存,7499.0
6383824,https://item.jd.com/6383824.html,ThinkPadX1 Carbon, ThinkPad,8G,256G固态,,英特尔 UHD 620显示芯片,9999.0
7588529,https://item.jd.com/7588529.html,惠普EliteBook700, 惠普（HP）,8G,256G固态,,,5299.0
8104324,https://item.jd.com/8104324.html,华硕FX80GD, 华硕（ASUS）,8G,128G+1T,,GTX1050,6799.0
5537833,https://item.jd.com/5537833.html,微软Surface Pro, 微软（Microsoft）,,,,,6388.0
100000376384,https://item.jd.com/100000376384.html,戴尔灵越, 戴尔（DELL）,8G,256G固态,,,6599.0
7056182,https://item.jd.com/7056182.html,宏碁SF314, 宏碁（acer）,8G,128G+1T,,,4899.0
4752531,https://item.jd.com/4752531.html,联想IdeaPad120S, 联想（Lenovo）,4G,256G固态,,,3098.0
8776186,https://item.jd.com/8776186.html,华硕a豆, 华硕（ASUS）,8G,256G固态,,Intel UHD Graphics 620,5299.0
100000018399,https://item.jd.com/100000018399.html,戴尔飞匣, 戴尔（DELL）,4G,500G,,,3599.0
6339280,https://item.jd.com/6339280.html,小米Air, 小米（MI）,8G,256G固态,,NVIDIA GeForce MX150 独立显卡,5999.0
8945221,https://item.jd.com/8945221.html,戴尔飞匣, 戴尔（DELL）,8G,256G固态,,,4199.0
7588487,https://item.jd.com/7588487.html,神舟精盾, 神舟（HASEE）,8G,256G固态,,GTX1070 MAX-Q,9699.0
7649679,https://item.jd.com/7649679.html,惠普暗影精灵4代, 惠普（HP）,8G,128G+1T,,GTX1050Ti,6399.0
7430495,https://item.jd.com/7430495.html,微软Surface Laptop, 微软（Microsoft）,4G,128G固态,,英特尔 HD 615,4788.0
7435282,https://item.jd.com/7435282.html,惠普暗影精灵4代, 惠普（HP）,8G,128G+1T,,GTX1050,5699.0
100000713261,https://item.jd.com/100000713261.html,微软Surface Laptop, 微软（Microsoft）,8G,256G固态,,Intel? UHD Graphics 620 (i5),9988.0
7374622,https://item.jd.com/7374622.html,机械革命深海幽灵Z2, 机械革命（MECHREVO）,8G,128G+1T,,GTX1060,8999.0
6949959,https://item.jd.com/6949959.html,华硕FX80GE, 华硕（ASUS）,8G,128G+1T,,GTX1050Ti,6999.0
28316606259,https://item.jd.com/28316606259.html,联想（Lenovo） 拯救者Y7000 15.6英寸吃鸡游戏笔记本电脑GTX1050独显 酷睿8代 官方标配i5-8300H/8G/1T大硬盘/4G, 联想（Lenovo）,8G,1T,,GTX 1050,5599.0
6383212,https://item.jd.com/6383212.html,ThinkPadX1 Carbon, ThinkPad,8G,512G固态,,英特尔 UHD 620显示芯片,13999.0
4730585,https://item.jd.com/4730585.html,微软Surface Pro, 微软（Microsoft）,8G,256G固态,,,9988.0
7219093,https://item.jd.com/7219093.html,宏碁AN515, 宏碁（acer）,8G,128G+1T,,GTX1050,5799.0
7374658,https://item.jd.com/7374658.html,华硕U3000UF, 华硕（ASUS）,8G,256G固态,,NVIDIA GeForce MX130,4799.0
31204952898,https://item.jd.com/31204952898.html,华为（HUAWEI） 荣耀笔记本MagicBook 14英寸轻薄便携学生本商务本超薄本笔记本电脑 锐龙版AMD+8G+256G集显非触屏版, 华为（HUAWEI）,8G,256G固态,,,3999.0
7649697,https://item.jd.com/7649697.html,惠普暗影精灵4代, 惠普（HP）,8G,128G+1T,,GTX1060,9899.0
8472668,https://item.jd.com/8472668.html,联想Lenovo小新潮7000, 联想（Lenovo）,8G,512G固态,,NVIDIA GeForce MX150 GDDR5 2G,5599.0
100000012874,https://item.jd.com/100000012874.html,机械革命深海泰坦X8, 机械革命（MECHREVO）,8G,128G+1T,,GTX1060,9999.0
7588475,https://item.jd.com/7588475.html,神舟精盾, 神舟（HASEE）,16G,256G+1T,,NVIDIA GTX1070,12699.0
12275775824,https://item.jd.com/12275775824.html,华硕（ASUS） 华硕顽石FL8000UF/UN笔记本电脑i7学生游戏本15.6英寸手提电脑 星空灰i7-8550U/MX130-独显2G 8G内存/1T硬盘+128GSSD 套餐三, 华硕（ASUS）,8G,128G+1T,,,4999.0
7374678,https://item.jd.com/7374678.html,华硕A505, 华硕（ASUS）,8G,256G固态,,,4399.0
7513367,https://item.jd.com/7513367.html,雷神911, 雷神（ThundeRobot）,8G,128G+1T,,GTX1050Ti,6999.0
100000060092,https://item.jd.com/100000060092.html,ThinkPadE485, ThinkPad,8G,500G,,,3999.0
1803497349,https://item.jd.com/1803497349.html,机械师游戏本（MACHENIKE） T58 八代i7/GTX1050 4G独显轻薄吃鸡笔记本电脑 寒光版i7-8750H/8G/180G固态+1T, 机械师游戏本（MACHENIKE）,8G,,,GTX1050,6496.0
5148349,https://item.jd.com/5148349.html,戴尔燃7000, 戴尔（DELL）,8G,,,NVIDIA MX150 (2GB),6299.0
100000177537,https://item.jd.com/100000177537.html,机械革命深海泰坦X8, 机械革命（MECHREVO）,8G,128G+1T,,GTX1060,8999.0
8993031,https://item.jd.com/8993031.html,华为华为MateBook X Pro, 华为（HUAWEI）,8G,512G固态,,其它,10988.0
8385991,https://item.jd.com/8385991.html,华硕S4300, 华硕（ASUS）,8G,256G固态,,MX150,5799.0
100000402915,https://item.jd.com/100000402915.html,惠普星系列 14, 惠普（HP）,8G,128G+1T,,,5499.0
7629614,https://item.jd.com/7629614.html,AppleMacBook Pro, Apple,16G,512G固态,,,21488.0
5148309,https://item.jd.com/5148309.html,戴尔燃7000, 戴尔（DELL）,8G,,,NVIDIA MX150 (2GB),5399.0
8164004,https://item.jd.com/8164004.html,AppleMacBook Pro, Apple,8G,512G固态,,,15388.0
8025712,https://item.jd.com/8025712.html,ThinkPadX280, ThinkPad,8G,512G固态,,英特尔 UHD 620显示芯片,7999.0
100000165910,https://item.jd.com/100000165910.html,小米小米-游戏本, 小米（MI）,8G,1T,,GTX1050Ti,7499.0
6023686,https://item.jd.com/6023686.html,华为MateBook D, 华为（HUAWEI）,8G,256G固态,,MX150,5188.0
7127016,https://item.jd.com/7127016.html,戴尔灵越, 戴尔（DELL）,8G,256G固态,,,4299.0
6888610,https://item.jd.com/6888610.html,联想小新Air, 联想（Lenovo）,8G,256G固态,,MX150 GDDR5 2G,6299.0
24350743428,https://item.jd.com/24350743428.html,苹果（Apple） MacBook Air 苹果笔记本电脑 13.3英寸轻薄本 套餐版下单即送大礼包 2017款/i5/8GB/128GB/D32, 苹果（Apple）,其他,,,,6088.0
6736136,https://item.jd.com/6736136.html,华为MateBook X Pro, 华为（HUAWEI）,8G,256G固态,,MX150,8688.0
4331151,https://item.jd.com/4331151.html,AppleMPXQ2CH/A, Apple,8G,128G固态,,,9888.0
5025849,https://item.jd.com/5025849.html,戴尔XPS, 戴尔（DELL）,16G,512G固态,,Intel UHD Graphics 620,11099.0
100000511418,https://item.jd.com/100000511418.html,惠普星13, 惠普（HP）,8G,256G固态,,Intel UHD Graphics 620,5699.0
100000321996,https://item.jd.com/100000321996.html,惠普Envy13, 惠普（HP）,8G,,,,6099.0
8596171,https://item.jd.com/8596171.html,ThinkPadE480, ThinkPad,4G,500G,,,3299.0
100000376370,https://item.jd.com/100000376370.html,戴尔灵越, 戴尔（DELL）,8G,256G固态,,,5299.0
8173836,https://item.jd.com/8173836.html,华硕FX80GE, 华硕（ASUS）,8G,128G+1T,,GTX1050Ti,6999.0
100000383591,https://item.jd.com/100000383591.html,惠普Envy13, 惠普（HP）,8G,,,MX150,6299.0
100000204685,https://item.jd.com/100000204685.html,华硕FX86, 华硕（ASUS）,8G,256G+1T,,GTX1050Ti,7999.0
4846138,https://item.jd.com/4846138.html,ThinkPadX1 Carbon（07CD）, ThinkPad,8G,256G固态,,Intel HD Graphics 620,8999.0
8596147,https://item.jd.com/8596147.html,ThinkPadE480, ThinkPad,8G,500G,,,4499.0
5169132,https://item.jd.com/5169132.html,微软Surface Pro, 微软（Microsoft）,,,,,4388.0
4786871,https://item.jd.com/4786871.html,惠普HP 246 G6, 惠普（HP）,4G,500G,,AMD Radeon R5 M520,3499.0
7216568,https://item.jd.com/7216568.html,微软Surface Laptop, 微软（Microsoft）,8G,256G固态,,英特尔 HD 620,8288.0
7374610,https://item.jd.com/7374610.html,神舟精盾, 神舟（HASEE）,8G,256G固态,,GTX 1050 ti,5999.0
26512882412,https://item.jd.com/26512882412.html,机械师F117-B2 全面屏游戏本八代i7-8750H/GTX1050Ti独显轻薄吃鸡笔记本电脑 豪华版i7-8750H/8G/256G固态+1T, 机械师游戏本（MACHENIKE）,8G,256G+1T,,GTX1050Ti,7699.0
25617718904,https://item.jd.com/25617718904.html,联想IdeaPad330c 14英寸八代酷睿I5/I7超高性能笔记本电脑手提轻薄本 商务本办公笔记本 定制I7-8550U 8G 1T+128G双硬盘 MX110 2G显卡 W10 黑色, 联想（Lenovo）,8G,128G+1T,,,4999.0
3917091,https://item.jd.com/3917091.html,神舟战神Z6-KP5GT, 神舟（HASEE）,8G,128G+1T,,GTX1050,4899.0
7450561,https://item.jd.com/7450561.html,惠普Envy13, 惠普（HP）,8G,256G固态,,,5699.0
7857374,https://item.jd.com/7857374.html,ThinkPadE485, ThinkPad,8G,256G固态,,,4499.0
100000328968,https://item.jd.com/100000328968.html,ThinkPadX1隐士, ThinkPad,16G,512G固态,,GTX 1050Ti Max-Q,18999.0
100000402913,https://item.jd.com/100000402913.html,惠普星系列 14, 惠普（HP）,8G,128G+1T,,,6299.0
100000158780,https://item.jd.com/100000158780.html,华硕S4300, 华硕（ASUS）,8G,512G固态,,MX150,5599.0
5940028,https://item.jd.com/5940028.html,戴尔成就, 戴尔（DELL）,8G,256G固态,,AMD Radeon R530,5199.0
8524221,https://item.jd.com/8524221.html,华硕S5300, 华硕（ASUS）,8G,512G固态,,MX150,5799.0
4335021,https://item.jd.com/4335021.html,AppleMPXR2CH/A, Apple,8G,128G固态,,,9888.0
6685410,https://item.jd.com/6685410.html,ThinkPadT480, ThinkPad,8G,128G+1T,,NVIDIA GeForce MX150,11499.0
8248028,https://item.jd.com/8248028.html,华为荣耀MagicBook, 华为（HUAWEI）,8G,256G固态,,Radeon Vega8 Graphics,4599.0
27914580591,https://item.jd.com/27914580591.html,, 惠普（HP）,8G,128G+1T,,,5599.0
3915827,https://item.jd.com/3915827.html,ThinkPadE475, ThinkPad,4G,500G,,,2699.0
26677260360,https://item.jd.com/26677260360.html,华硕（ASUS） 笔记本电脑游戏轻薄本顽石五代F580吃鸡15.6英寸8代i5超薄学习办公手提电脑 荣耀金 套餐四8G内存/1TB硬盘+120G固态, 华硕（ASUS）,4G,1T,,,4599.0
8386007,https://item.jd.com/8386007.html,华硕S5300, 华硕（ASUS）,16G,512G固态,,MX150,6798.0
6736178,https://item.jd.com/6736178.html,华为MateBook X Pro, 华为（HUAWEI）,8G,256G固态,,MX150,8688.0
11547179907,https://item.jd.com/11547179907.html,华硕（ASUS） 金属超极本RX310/R421轻薄便携商务办公超薄学生游戏手提笔记本电脑 旗舰店 玫瑰金/冰金色【金属超极本】 14.1英寸/I5/8G/128G+500G/核显, 华硕（ASUS）,4G,128G+1T,,,4399.0
28975115707,https://item.jd.com/28975115707.html,华为（HUAWEI） 荣耀笔记本MagicBook 14英寸超轻薄窄边框商务办公电脑指纹识别超极本 冰河银︱AMD锐龙5/8G/256G+集显, 华为（HUAWEI）,8G,256G固态,,,3988.0
100000339319,https://item.jd.com/100000339319.html,戴尔G3, 戴尔（DELL）,8G,128G+1T,,GTX1060,8299.0
7701621,https://item.jd.com/7701621.html,华硕FX80GM, 华硕（ASUS）,8G,256G+1T,,GTX1060,8999.0
5834159,https://item.jd.com/5834159.html,戴尔灵越, 戴尔（DELL）,8G,256G固态,,,4999.0
100000012870,https://item.jd.com/100000012870.html,机械革命 深海幽灵Z2, 机械革命（MECHREVO）,8G,512G固态,,NVIDIA GeForce GTX 1060 MaxQ,8498.0
27914580589,https://item.jd.com/27914580589.html,, 惠普（HP）,8G,256G固态,,,5199.0
100000376378,https://item.jd.com/100000376378.html,戴尔灵越, 戴尔（DELL）,8G,256G固态,,,5699.0
7176142,https://item.jd.com/7176142.html,宏碁A615, 宏碁（acer）,4G,1T,,MX150,3999.0
10089510260,https://item.jd.com/10089510260.html,机械师游戏本（MACHENIKE） T58 八代i7/GTX1050 4G独显轻薄吃鸡笔记本电脑 进阶版GTX1050Ti/8G/180G固态+1T, 机械师游戏本（MACHENIKE）,8G,,,GTX1050,6996.0
8596149,https://item.jd.com/8596149.html,ThinkPadE480, ThinkPad,8G,500G,,RX550,4999.0
4752515,https://item.jd.com/4752515.html,联想Lenovo小新潮7000, 联想（Lenovo）,8G,256G固态,,NVIDIA GeForce MX150 GDDR5 2G,5899.0
7353712,https://item.jd.com/7353712.html,联想小新, 联想（Lenovo）,8G,256G固态,,AMD Radeon R540,5199.0
4235735,https://item.jd.com/4235735.html,微软Surface Pro, 微软（Microsoft）,,,,,7988.0
8596167,https://item.jd.com/8596167.html,ThinkPadE480, ThinkPad,4G,500G,,RX550,3699.0
6864168,https://item.jd.com/6864168.html,雷神911, 雷神（ThundeRobot）,16G,128G+1T,,,9298.0
31595170133,https://item.jd.com/31595170133.html,戴睿（dere） R9s 15.6英寸超轻薄窄边框笔记本电脑 全新四核便携手提学生商务办公游戏上网本 枚红色 6G内存 128G固态, 戴睿（dere）,其他,128G固态,,其它,1798.0
100000214419,https://item.jd.com/100000214419.html,华硕FX86, 华硕（ASUS）,16G,256G+1T,,GTX1060,9999.0
100000012872,https://item.jd.com/100000012872.html,机械革命深海泰坦X8, 机械革命（MECHREVO）,16G,256G+1T,,GTX1060,10999.0
100000644947,https://item.jd.com/100000644947.html,联想小新, 联想（Lenovo）,8G,128G+1T,,,5199.0
7083912,https://item.jd.com/7083912.html,戴尔G7, 戴尔（DELL）,8G,128G+1T,,GTX1060MQ,7699.0
4276780,https://item.jd.com/4276780.html,戴尔Vostro 15-5568-R1845S, 戴尔（DELL）,8G,256G固态,,940MX,6199.0
6544017,https://item.jd.com/6544017.html,ThinkPadT480, ThinkPad,8G,128G+500G,,NVIDIA GeForce MX150,8499.0
6888612,https://item.jd.com/6888612.html,联想小新Air, 联想（Lenovo）,8G,256G固态,,MX150 GDDR5 2G,6299.0
