sequence,label
求助我该入手哪款镜头？？650d的机子，推荐几款吧。出去旅游和公园郊游风景，人物拍摄本人现在用的是650d的机子。买的小套18-55镜头。前几天刚入手的50mm 1.8f，还想再上个。想出去旅游的时候拍风景、人物。预算价格5000以下。请求大师们推荐推荐。本人菜鸟。、。。。,1
大家推荐一款拍照的大家推荐一款拍照的打算买一个比单反差一些，可以拍动态的就是我们打羽毛球的有什么推荐的要求：可拍动态打羽毛球动作的价格：3000元以下推荐个型号和品牌,1
A51 A79k R829T X9070 R850 维修 破解包 解屏幕锁 给力推荐最新刷机教程，今天要给大家讲解的是线刷教程，主要是教大家用A51 A79k R829T X9070 R850 原厂官方系统刷机，A51 A79k R829T X9070 R850 解账户锁，A51 A79k R829T X9070 R850 定屏死机，A51 A79k R829T X9070 R850,2
官方推荐用于P7000的卡，容量最高达64G官方推荐用于P7000的卡，容量最高达64GSandiskPanasonicLexarToshiba,1
新手准备入手【！！求推荐网店！！】已经确定入手但是不知道哪个网店好...前辈们指教拉,1
3000元的神舟游戏本推荐个吧各位大神,0
在用Thinkpad Helix的人求推荐求介绍因为还蛮想入手这一款的，所以求推荐求介绍一下，好用吗,0
"想入手D7000，预算20000，请高手推荐想入手D7000，初步考虑nikon 80--200,和腾龙17--50，总预算20000，请高手推荐，越详细越好，谢谢",1
求推荐打算买台价格2000-3000的笔记本，我不玩游戏，望各位网友推荐（另请附上理由），谢谢！,0
请大家推荐一款符合我的要求手机要求：双卡双待，内存最少128G，电池待机时间长，大屏最少5寸，指纹识别，处理器好！,2
求推荐一部价格3500左右的笔记本如题，求推荐一部3500左右的笔记本，本来是考虑买小米12.5英寸的，但是去实体店看过发现太小了，因为是买给准备上高中的弟弟，屏幕太小可能对眼睛不太好，求大神推荐，平时可能就玩玩LOL什么的，但是屏幕尺寸不要太,0
R821t_B R9st A37t X9070 X9007 黑屏 维修 升级包 恢复出厂 精品推荐最新刷机教程，今天要给大家讲解的是线刷教程，主要是教大家用R821t_B R9st A37t X9070 X9007 原厂官方系统刷机，R821t_B R9st A37t X9070 X9007 解账户锁，R821t_B R9st A37t X9070 X9007 定屏死机，R821t_B R9st A,2
想买一款双4g手机，求大神推荐要求能玩王者，屏幕不要太大（4.7可接受），待机长点。蓝牙，相机，这种功能对我来说都没什么用，nfc、红外有最好。价格2000左右的,2
想买台3000多元的华硕本子，请推荐一下！想买台3000多元的华硕本子，请推荐一下！只要inter的CPU不要AMD的，芯片组不要SiS的最好是GM45的，价格3500左右最好我的预算也就这么多，实在没办法一定不能超过4000！,0
求推荐一款5000元以内Thinkpad本本，谢谢大侠！！！！~~~预算5000元以内Thinkpad本本，用来上网、看电影，偶尔玩些CS、极品飞车之类的游戏，ProE、AutoCAD画图、办公。 求推荐一款性价比高的Thinkpad本本，谢谢。。。。,0
求推荐笔记本电脑本人想买一台笔记本+方便携带，主要用于看视频，做视频和P图，希望买一个能够用的时间比较长的，运行快的，不要用了3-5年就黑屏，运行变慢了的笔记本。如果能装那种装机游戏的也行。价位不定，不低于3K就行了。,0
求推荐笔记本超薄，商务，便携,0
请个问Y友帮忙推荐3000-4000的联想本本如题， 女孩子用的（不怎么玩游戏） 麻烦各位了,0
WOduole-Y500推荐:WIN8下安装WIN7方法！（粗鲁式，请谨慎模仿!）注意：此方法是清除所有磁盘！包括联想一键还原，请谨慎使用，更新前请备份好重要资料！！！「Diskpart是Windows环境下的一个命令，正常运行该命令时需要系统服务的支持，所以在纯DOS、XP内核的WinPE环境下都是不能,0
4000元以下，请大家推荐款笔记本，要求独立显卡、外观漂亮。谢谢大家！4000元以下，请大家推荐款笔记本，要求独立显卡、外观漂亮。谢谢大家！,0
推荐一款女生用笔记本？求推荐一款适合女生用的笔记本，价格在3000到3500左右，主要是看看电影用 ，不玩游戏的。,0
求高手给推荐一款相机····求相机一款···家用旅游用的··光学防抖！！4倍变焦以上！！夜拍清晰！！！像素1400以上，分辨率要好点~~~~价格在800-1500左右（这里面最好可以含原装电池一块和4G或者8G内存） 希望高手都给个指点~~~马上要去云,1
"想玩老镜头,老鸟来推荐下18 105和50d镜头都出了,剩下18 55玩着没动力,想买个三百左右老镜头,不要太好能玩就行人像小景,135mm3.5怎么样,其它中焦变焦老头有介绍吗.",1
帮忙推荐款笔记本电脑！价格在四千元以下！要求机身的颜色是红色的 粉的 紫的！,0
推荐个内胆包呗！我用的是宏基V571G。大家能否给推荐个内胆包。天天被在包里，感觉对电脑不是很好。。。,0
推荐下好的定焦镜头拍出好的人像。摄影新手，近期想入定焦镜头拍摄人像，机身尼康D90，各位大神可以推荐下比较好的定焦镜头吗？,1
求推荐求推荐一款3500左右的本，打cf帧数上100,0
上周照片，这周上传，请指点，谢，镜头不好，推荐一下，2000-3500 谢器材:索尼 A550[索尼数码相机]镜头:时间:2010-10-30快门:1/60光圈:F/5.6焦距:210毫米感光度:200 器材:索尼 A550[索尼数码相机]镜头:时间:2010-10-30快门:1/125光圈:F/5.6焦距:250毫米感光度:200 器材:索尼 A550[索尼,1
4000左右性价比高的本本推荐几个一般就是在家用，能玩玩坦克世界.LOL之类的，高手些推荐几个呗,0
求推荐～5000以内买个本能跑动UG8的 请各位大神给点意见,0
为了即将出生的儿子计划出手宾得K7，留下他童年的时光，请色友推荐一下必备镜头童年的时光是很美妙的，所以为了儿子喜欢摄影但是非专业非发烧的我想来想去买个单反比DV什么的都要好，但是看到网上说的太多了，什么广角变焦微距镜头种类太多，我也分不懂，呵呵，是不是小孩写特写就要微距呢？请教,1
"都说蔡司85/1,4和50/1.4定焦头色彩锐度好，请指点推荐求助各位老师：本人现己有佳能6d和50/1.4镜，都说蔡司85/1,4和50/1.4定焦头色彩锐度好，我意向二款中选一，那款性价比质量好，请大家指教推荐。平时就是给外生女拍照的。",1
5000左右的商务笔记本有什么好的推荐？基本要求：1、处理器要好一点的，起码是i5-6200以上 2、显卡英伟达9系列 3、金属机身 4、续航能力好 5、屏幕15.6,0
求大神推荐下我该买柯达S1还是柯达AZ651求大神推荐下我该买柯达S1还是柯达AZ651,1
南京概盈组电脑，中关村推荐。最近吃鸡正热，我的本本2G显卡实在吃不消，决定攒一台电脑，就在中关村推荐的三黄两钻级店家，地址：是南京珠江路333百脑汇7楼704 通过店家打过去是个男的，后来让我打另外一个，联系到了向姐姐。由于华硕显卡没货换,0
已升385 推荐升级刚刚升级了 初步用起来感觉快了许多 很明显 推荐升级 有关耗电我不是太在意 只要够用一天就可以了,2
"有谁能帮我推荐一下几款笔记本3000左右牌子不限,办公与影音用的?有谁能帮我推荐一下几款笔记本3000左右牌子不限,办公与影音用的?",0
各位亲们推荐电脑一台主频在2.0及以上，屏幕在15寸以上的是酷睿i5的处理器，谢谢大家了,0
6000-7000笔电求推荐求各位dalao推荐下笔电 综合性能要好的,0
求推荐指教请问现在入60d+50 1.4+15-85.还是二手5d2+501.4好呢,1
求助想买一款4500左右的电脑请求推荐相买一款4500左右的笔记本没事做做设计，玩玩游戏用，价钱在高一点也无所谓。 希望各位懂行的给个推荐， 请写清楚配置，详细点并标明大概的价位，谢谢 谢谢,0
新手求推荐一款机子估计各位大师已经很烦看到这种贴了，但还是请帮帮忙吧，我想入手一部功能稍微多一点的DC或微单，预算2000多一点吧。很久没关注过相机产品，对这些了解还停留在我10年前买powershot a80的时候，这两天百度了一下，感,1
请各位大哥帮忙小弟推荐一款婚庆用摄像机具体要求如下，谢谢各位，祝各位发财小弟想买一款 婚庆用摄像机 预算在2w左右 当然越低越好 最主要是性能出众 性价比高 要求带 高清 最好是带卡存(不想买采集卡了) 由于婚庆环境变化较大 所有手动功能丰富些 在这里谢谢各位,1
斑竹请帮忙推荐一只镜头！！谢谢谢谢斑竹，你好，我新手哈~~看到你拍的PP，很羡慕；看到你对各位坛友的回复，很专业。所以向你请教。我目前是50D+85/1.8的装备，目前想入手一只镜头，用来拍拍风景（多）兼人像（少）的镜头。斑竹能帮忙推荐一只吗？？个,1
华为荣耀8图片被偷了，请机友们推荐手机2000元左右的就行荣耀8到手很轻薄，背面超级好看，性价比也高，当时2000+，活动的时候1499京东入手，拍照自我感觉不错，而且对EMUI5.0之后的使用居然感觉还不错，NFC超级好用，公交卡刷了这么久，基本没有失败的，相,2
小白求推荐笔记本电脑预算5000主要用于视频剪辑和音频剪辑和图形处理求大神推荐性价比高的笔记本电脑,0
大家推荐一个播放器快播被乐视干掉了大家还有什么比快播还好的播放器推荐一下呗,2
想买个本本 高手进来推荐下 不胜感激！1本人想买个本本，在网上逛了两天，觉得华硕的还不错，本人对本本的要求如下： 价格在 5000-6500之间 尺寸最好是14寸的 平时也玩玩3D游戏 一天大概玩6个小时左右 请高手给我推荐一下 并报下价格 本人是温州的 先谢过,0
有没有什么好玩的大型单机，求推荐！！！如题,2
求推荐做平面设计的笔记本如题：求各位大神推荐一款 做 平面设计的专业作图本。,0
购买相机求推荐想买一个可以照夜景清晰、照星星清晰的单反或微单，我是新手，求推荐,1
想给兔兔配个三脚架，各位有什么好的推荐？想给兔兔配个三脚架，不知道什么牌子、型号、什么云台的适合兔兔，要稳当轻便，预支200以内，本人身高175CM。谢谢各位了！,1
想买一款效果好的卡片机，请各位推荐下。本人平时很喜欢拍摄一些花花草草，因为懒人一个，所以我想买一款卡片机，每天放在包包里，上下班途中随时可以拿出来拍，但又希望拍出来的画质清晰，效果专业。之前我也想过买微单，但考虑它们毕竟有长焦镜头，还是不,1
求大神们推荐！希望大家能给我推荐一台配置能够玩VR的以及大型单机游戏比如《看门狗2》GTA5，至少三到五年的大型单机游戏能够玩，谢谢大家！麻烦推荐性价比高点的，预算不算显示器，一万以内！谢谢,0
R9st N5209 R2017 R9sPlust R821t_B 原厂 救砖包 网点推荐最新刷机教程，今天要给大家讲解的是线刷教程，主要是教大家用R9st N5209 R2017 R9sPlust R821t_B 原厂官方系统刷机，R9st N5209 R2017 R9sPlust R821t_B 解账户锁，R9st N5209 R2017 R9sPlust R821t_B 定屏死机，R9,2
7000左右游戏本，大神给推荐一个7000左右游戏本，上一个戴尔15r灵越，显卡烧了，主玩2konline 极品飞车17 gta5 吃鸡这样大型游戏，实在选不出来，17寸更好，携带性重量外观都不考虑，玩得爽散热好就行！！！,0
想入5D3和适马70-200OS，不知道五一友通搞不搞活动，大家好有好的地方推荐没天天看论坛，之前的D90以卖掉了，现在准备入手个全画幅的，看中了尼康D600和佳能6D，5D3！他们说不上5D3要后悔，纠结啊。。。。。。。,1
只选择松下~ 求推荐~发现松下比较经典实惠的两款机子 松下FP8 和FX180 不过貌似都挺产了~不求最好，但求实用~ 希望大家帮忙推荐个性价比比FP8好点的~ 1500内吧~,1
现在K470P I3 和K580P I3 价格就差200.实在不知道选择哪种，求大家推荐现在K470P I3 和K580P I3 价格就差200.实在不知道选择哪种，求大家推荐 感激啊,0
求推荐游戏本求推荐一款笔记本电脑能流畅吃鸡价格在3000-4500,0
我有一个百诺三角架，希望推荐一个云台百诺三角架搭配的是全景云台，好像只能竖着拍！我想买个平常用的云台！请推荐一个性价比好一点的！ 价格在300以下吧,1
请问450套头18/55想换了有啥好推荐 ，另有501.8痰盂一个想保留谢谢 想入腾龙17/50 还有其他的吗,1
推荐 时光再现、锋芒 为新任版主鉴于500D 论坛人气日渐旺盛，大家提议的增加 版主的建议，得到 管理员的支持，我和 大虎的爸爸、笑看人生 版主，以大家的建议为依据，同时也征求了本人的意见，现在推荐 时光再现 、 锋芒 为 我们 500D 新任版主....,1
求推荐一款打印机半年前买了一款佳能IP2780现在老出问题 已经无法打印 想换一台A4或A3的 有5-6个墨盒的不用太贵1000-2000左右的口碑好的 主要就是打印照片 先谢谢啦 祝大家国庆快乐,1
各位都用的什么三脚架，有推荐一个和NEX-7很搭配的架子。朋友说你得至少买个RMB1500的才不后悔（当初我本来买NEX-5的，NEX-6还没出，被损友怂恿买了NEX-7）感觉似乎贵了点，这次不能信他了。。。预算就700到1000吧，反正要和NEX-7较搭配的。问之前论坛我已经搜索了一下，有,1
新手求推荐新手想买尼康D7200，但是镜头不知道要怎么选择，希望可以买个副厂的，我主要喜欢拍摄风景静物，其次是人像。希望各位可以帮忙推荐一下镜头该如何选择，选择哪个或者说选择几个？都是哪种的？,1
小弟刚到手的N56 I7-3630QM 玩游戏居多 求大家推荐个抽风机~~小弟刚到手的N56 I7-3630QM 8G GT650M 4G独显 750G硬盘~ 考虑到玩游戏比较多请大家推荐一款抽风机用~~~~,0
大家帮忙看看最近想换一台新的笔记本，求大神推荐需求：1、剪辑视频、制作AE特效不是太卡就行，2、能玩DOTO2，不卡3、价位在7000元以下即可4、笔记本牌子不限，只要性能好就行感谢大家，帮我看看，我就一电脑小白！求大神推荐！！,0
麻烦推荐一款性价比高的魅蓝手机本帖最后由 TOP疯子 于 2017-10-04 14:16 编辑 从MX2接触魅族，又买了MX3和魅蓝NOTE，此后就换街机了 现在想买一款备用机，能流畅使用微信QQ，坚持个两三年 游戏随便，7p也不打游戏，只玩小游戏 请指教,2
帮帮忙求推荐:建筑景观设计的学生选择什么电脑好？请大家帮帮忙，价格在5000到6000左右，时间比较着急，谢谢谢谢，感激不尽,0
大家推荐下小7的三脚架最近想拍的夜景，想买款适合的3脚架，价钱50元以内的，关键是适合就好， 想大家推荐下,1
求推荐个安卓手机音乐播放应用求个能播放采样率11289kHz的音乐的android手机端音乐播放应用。荣耀v9不能用硬解DSD音频，下载了个能软解DSD的海贝音乐，但是仅能播放采样率低的，采样率高的也播放不了。,2
求使用过的高手推荐摄像功能强的相机!长焦相机也可以，老婆刚到电视台单位上班，有时候需要记录下会议内容，领导人讲话什么的，好带回家回放写稿子。自己已有通用DV1了，效果差不多满意，但不能变焦，不能摆桌子上拍摄 . 请把使用过的器材的优缺点详细说,1
求推荐一款漂亮的THINKPAD本人单身女孩，电脑小白一枚，求推荐一款精致漂亮做工好的笔记本，不要苹果的哦！可以兼顾日常娱乐家用而且便携，预算一万元，希望懂电脑的哥哥能给点建议，感激不尽,0
求大神推荐一款4500左右，学设计不卡的笔记本，求各位大神推荐一款,0
想给4050配个电池，求推荐4节电池出门很紧张 想配点，求推荐,1
"推荐像我一样想造反的朋友应该看的一篇文章-转载自D90论坛想造反前突然看到了一篇非常好的文章 http://dcbbs.zol.com.cn/58/657_572120.html，这篇文章让我觉得应该再等等，等到我真正学会了PS和摄影技巧,同时等到60D或D7000这一级别的机器降到一个合适的价位再说！ 虽然暂",1
(急)想买个佳能1000元以下的，捕捉镜头稳定的相机，大神们有什么推荐？想买个佳能1000元以下的，捕捉镜头稳定的相机，大神们有什么推荐？ 谢谢！,1
求大神推荐一个能玩魔兽世界的本本如题 现在本本更新太快啦 台式机还稍微明白一点 本本简直是一头雾水啊 各种看不懂 所以求大神推荐一款本本 要求中低特效可以流畅运行魔兽世界 价格在5000以内最好 谢大神,0
"推荐大家4款手机,既颜值高,又性能高咱们现在社会的高速发展，智能手机也在赓续的更新换代，手机市场上也赓续迸发出新生力量，能满足手机用户需求的前提下，各大手机的厂商也投入品牌建设服务，手机市场上有异常多的机型可供咱们抉择，不过咱们，可能很",2
向各位大神求助，不知要买什么笔记本电脑的，大家推荐几个吧买个华硕笔记本电脑14寸的价格4500-5200的配置高点的,0
想为D800E买一支闪光灯。麻烦各位老师推荐一个。想为D800E买一支闪光灯。主要在室内拍人像使用，麻烦各位老师推荐一个。,1
求推荐个VR坑人的小米VR发货后才發现不能用MIX 大佬们帮忙推荐个效果不错的VR 小弟在此谢过了,2
60D配啥镜头呢？求推荐！之前纠结于D7000和60D，现在决定60D了，主要是性价比，况且最近D7000很多地方断货。 我是新手。问题又来了，60D有3个套机：18-135、18-200、17-85。 我不想一镜走天下，长焦估计用的也不会太多。之前以为选17-85套机,1
新手买相机推荐主要拍人像我想买个单反相机，价格在5000元左右。主要拍人像。拍好看点,1
日行gx1和国行5r 选哪个，求推荐朋友可以从日本带回日行GX1 配x14-42，大概2300元。虽然最多只有英文菜单，但我觉得影响不大。对我来说画质比较重要，其他影响都不大。 不知道5r的画质值不值得多出1000多？,1
想入手联想！推荐一下推荐一下，笔记本要可以打游戏，做图用，PS做图！,0
推荐一个4500左右的游戏本4500左右的游戏本,0
奥林巴斯官网推荐TG系列防撞镜头保护盖子。奥林巴斯官镜头盖。。。。奥林巴斯官网推荐 OLYMPUS ToughTG-1/TG-2/TG-3 /TG-4专用镜头盖,1
急需笔记本呀谁给我推荐个团购的商城呀你看吧到处都是搞团购的，看的我眼花撩乱的，都不知道去哪个好，有的看好笔记本了吧，一看却是外地的，有的是全国发货的吧，可是还收手续费，哎找了半天没有一个适合我的，谁能给我推荐个适合我的且能团购的商城呀，,0
3000元左右最划算实用的手机，推荐手机已经是人们现代生活不可缺少的，特别是无现金社会越来越普及。出门带个手机就能搞定一切，对于刚参加完高考的学生来说对于手机还不是那么了解。那么三千价位的旗舰机怎么选择呢?　　实际上三千价位是各大品牌手,2
请大家推荐一下镜头我现在是60D 18-135的头，感觉广角端不够广，想添置一个广角头，或者把18-135的卖了换成2个头，请问一下各位老师有什么推荐，谢谢！,1
Compaq 15-a102tx Notebook PC 这款型号的笔记本 有什么值得推荐的系统啊？请告诉我下载地址！！谢谢亲们！！！装了几天了。么遇到合适的系统！！1,0
想换内存条求推荐三星450R4V，换8g的能换么,0
"请老师推荐款曼富图三角架和云台,价格多少请老师推荐款曼富图三角架和云台,价格多少",1
求助求助，要入手个游戏笔记本请大家帮忙推荐推荐参考参考。我要买个笔记本，9000左右预算。希望能有独立小键盘。请大家帮忙推荐推荐。给些型号品牌参考参考。我个人看好联想Y570还有神州的那款最新精盾6999的。还有什么吗？大家推荐下吧！！,0
帮忙推荐一款笔记本电脑请各位给推荐一款7000以下的笔记本电脑，要求：性能稳定，轻薄点、时尚店，能满足一些较为专业的画图需求，硬盘500G及以上。,0
求推荐便宜的手动头，请教几问题，求指点，帮顶中500W，多谢问一下，在A200上玩手动头效果怎么样啊？那些头可以自动测光呢？哪个手动头可玩性，和出片好？ 能否推荐几个具体型号...多谢多谢...,1
"想买个同屏器,不知道那种好,有用过的推荐一下啦如题谢谢,我用的手机是小米5",2
大家给推荐个FZ35相机包？不要太大的，要求便携就行。 大家多推荐几个 谢谢,1
求推荐性价比高的手机经常看视频，了微信QQ，刷微博，像素音质不要太差的，学生用的，价位不要太高，不卡的有啥手机?,2
推荐一个小巧好用的相机喜欢上了平时拍拍照片，由于自己技术还有构图都欠佳，想入手一只入门快，小巧的相机，望大家推荐一下。 松下lx5还是佳能g15还有索尼rx100，得好用,1
能不能推荐个2000以内 性价比高的相机啊品牌什么的 无所谓 便携的就好了,1
华东游16- 无锡梵宫 推荐器材:奥林巴斯 SP565[奥林巴斯数码相机]时间:2012-03-28 11:27:39快门:1/400光圈:F/5.6焦距:4毫米感光度:64器材:奥林巴斯 SP565[奥林巴斯数码相机]时间:2012-03-28 11:33:18快门:1/8光圈:F/2.8焦距:4毫米感光度:320,1
机身D5100 配50-1.8G 想入手一个挂机头 求推荐18-140 适马18-250 适马 17-70 那个更适合 人像 风景 微距,1
麻烦摄友们推荐一款三角架本人用的D90+大竹炮。。请大家推荐一款角架，先谢了，最好是可以拆成独脚的，不知道有没有价格在600以内的。,1
推荐 升级 186！！省电！ 顺滑！本人升级186完整一天多 1.顶端调教亮度 实时预览界面 让你更精确找出自己想要的亮度 2.确实省电了本人周末 跟往常一样 导航骑行發现这么热天气居然掉电比往常更少 3.明显的 顺溜多了往常没感觉 升级之后才發现往常的,2
推荐几款电脑我想要买一台4000~5000的笔记本，求懂的朋友推荐几款,0
初学java.求推荐一款适合的笔记本价格3-5千内都可以。新手小白求指教,0
求推荐一个神州笔记本？要求：4000左右，误差100-200.CPU I5就够了，内存4G就行，显卡越好越行。上不上固态无所谓，硬盘256G，屏幕大小无要求，谢谢大家:)(*^__^*)，网上型号太多选花了。,0
请帮我推荐一款笔记本小女子我本科毕业，想买一款笔记本。我一点也不懂希望大哥哥大姐姐们帮我推荐推荐。,0
大家帮忙推荐下美团骑手用哪个华为型号没有延迟，荣耀8一直收不到派单，系统一直打电话，想换一款,2
推荐购买红米note4x,2
帮忙推荐一张SD卡准备购一张8G or 16G 的SD卡，支持连拍的，大家有没有什么推荐的？最好是给个网上的链接。 多谢。,1
挂机头有了，长焦也有了。。想入个超广角。。求高人推荐小三元已经拿到两个了。下一步想买个超广角的，原厂的不考虑了。太贵。。。现在在考虑腾龙的10-24和图丽的11-16。。死马的听说不耐操。。不考虑了。。有哪位用过以上镜头的，给个建议。,1
"帮帮忙推荐一款小Y用的散热垫吧..要可以调风速的..最好100以内 谢谢!!!!!!!!!!!1!!!前几天笔记本的高温问题让我意识到了小Y的温度.. 过几天去学校,想买一款笔记本散热垫.. 要求:可调风速..最好可以一同放到电脑包里..最好在100元以内..",0
老Y升级 1000元 的预算 大家推荐配置我的是T6600 的U 显卡是512LE 320G 5400 大家给兄弟推荐一下该怎么弄 尤其是有经验的 推荐好点的淘宝店家 谢谢了,0
买不4500上下的笔记本，求大神推荐好电脑！！！！！！！！！！！！！！！！！！请大神推荐推荐。。。。。。。。。。。。,0
求推荐一款三脚架性价比高一些的，价格200上下，轻便更好谢谢了,1
【试机】2011年的 第一场雪 推荐指数：☆☆★★★ 富士F305机友群：34802046器材:富士 F305EXR[富士数码相机]时间:2011-01-02 14:33:42快门:1/110光圈:F/4.8焦距:12毫米感光度:100器材:富士 F305EXR[富士数码相机]时间:2011-01-02 11:11:00快门:1/280光圈:F/5.2焦距:17毫米感光度:100器材:富,1
众乡亲，请推荐个三脚架如题，我打算以后去新疆自由行，本人60多岁，带16-50加50-135.你们看买个什么架子好？我向各位请教。综合大家的建议买个合适的。谢了。（我觉得矮点的较好）,1
开拓眼界，推荐一个实践贴！http://forum.xitek.com/forum.php ... age%3D1#pid56310547 我跟帖在7楼。无忌ID“zhangct ”摄友发表于 2014-9-10 10:04《微单转接新玩法：a7r、nex-5n转接中画幅手动镜头接片极致分辨率的终极体验》自从索尼公司,1
求推荐本本价格不高于5000，平时主要用于办公，有时候会玩一些游戏，希望本本无散热器噪音，外音效果佳…配置越高越好谢谢^ω^，还想加内存到8g,0
想买东芝的15寸 本本 请求大侠 推荐几款想买东芝的15寸 本本 请求大侠 推荐几款 最好适合家用 听歌游戏 要独立卡 起码1G的,0
24-120的尼友们 麻烦大家推荐一款没有暗角的UV或者CPL我目前用的是500多的B+W港版超薄UV 感觉28焦段暗角太能明显了，使用奈斯200多的CP(单独装没UV） 也是暗角明显很，希望用过的给推荐几款，没用过的凭价格和感觉就别推荐了，谢谢。,1
编辑此贴。给七家里需要入单反，拍微距的良师好友们推荐下，尽自己的一点力第四篇 新到买了50-1.8D加了28元的接圈和机闪做的柔光灯，试试微距；如下图；第四篇；DIY伪微距 http://dcbbs.zol.com.cn/106/657_1055058.html省去了买微距镜头同时更利用了50-1.8D人像头；第三篇鲤鱼溪 http://dc,1
那个推荐一款MSATA接口的SSD！！近期打算入手一台Y470N-ISE，本来打算上混合硬盘，看了一圈发现SSD的价格跟混合的差不了多少，目前市场上MSATA接口的SSD盘好像不多，价格好像都在1200左右，有没有推荐一款好用点实惠点的啊？ 本人不想动光驱。 ps：,0
即将入手D90，镜头请大家推荐一下现已入50mm f/1.8D，请大家再推荐一款风景类的好镜头，最好价格平民点哈.. 谢谢了！,1
纠结于腾龙 SP 70-300mm VC 和 尼克尔 55-300mm f/VR之间如何选择，请大家推荐。本人贫民，准备上手一款长焦头搭配我的小9，纠结于腾龙 SP 70-300mm f/4-5.6 Di VC 和尼康AF-S DX 尼克尔 55-300mm f/4.5-5.6G ED VR之间如何选择，请大家推荐。希望有用过得机友介绍优缺点。3Q。,1
