,sequence,label
22,一千五左右的手机，求推荐个性价比高点的一千五左右的手机，求推荐个性价比高点的,2
23,手机前后玻璃想换颜色，想搞混搭，求推荐手机颜色是魅海蓝，手机外屏坏了，后盖玻璃也坏了，我已经在京东上买了一个白色的玻璃后盖，外屏还没确定颜色，想换一种颜色，魅海蓝看久了，也感觉不好看了。,2
24,大神们帮我看看这个价钱合理吗，顺便给我推荐一下能用久一点的2500价位台式机 办公用技嘉H110M-S2PH主板i3-7100cpu西数1000g+金士顿120gSSD硬盘金士顿4g-2400内存长城350w电源白色大机箱2760元,2
25,推荐里面说341就结束内测了那是不是下个就是稳定版如题,2
26,想买一台华为平板电脑！大家有没有推荐的？想买一台华为平板电脑，大家是否有推荐的？价格在两千多左右的，都可以接受！,0
27,V8升级功能推荐期望升级后能把双开应用默认存储必须为内部存储给取去除！真的太不方便了！ 大家有什么想法也可以推荐一下！,2
28,2000元，求推荐手机如题～～～～～～,2
29,最新想换手机，求推荐荣耀v9和vivox9splus,2
30,这里推荐一款画质超高的游戏游戏名:火力全开2开放城市中文版 大小:300M 介绍:在葫芦侠里头或爱吾游戏宝盒下载，打开游戏是默认画质，在设定里头，设定最高画质，推荐特效全开,2
31,3D人脸识别手机有哪些？3d人脸识别手机推荐大全自从去年的苹果iPhone X取消指纹识别，并首次引入Face ID人脸识别之后，人脸识别逐渐在如今的全面屏手机普及。不过，目前大多数支持人脸识别的安卓手机均采用的是2D扫描技术，安全性与识别率远不如Face ID 3D人脸识,2
32,成功降到了大家都推荐的173版本，来说说体验，对比现在341由于341版本打荒野行动最高画质实在太卡(之前的版本也是卡)，跳伞后能够感觉到明显的掉帧，甚至我估计有时候20帧都不到，不得不降级到了173，进游戏后没跳伞之前还能60帧，跳伞后也还是出现掉帧的状况，不过明显比34,2
33,有什么安卓手机推荐吗之前用过华为的荣耀3和MATE S，都蛮好用的。但是现在华为的价钱已经不是当年的价钱了，想如果换手机的话，有什么推荐的吗，本人还是想换安卓系统的手机。对品牌的话，没有什么排斥的。,2
34,花粉朋友们有没有推荐的手机除了华为以外的都可以,2
35,想买手机给老爸 千元以内吧 求推荐 谢谢老爸平时就微信 打电话 斗地主其他没啥 能用个2-3年吧 早上看了某米的没货了马上下架了，某吧推荐青春版但是旗舰店高配已超过预算～狗东也没差价钱实体店不想逛233 推荐一下吧 谢谢,2
36,预算1600元，手机推荐以下几个要求 1.拍照像素要求不要太差 2.CPU性能中端，最好偏上 3.能快冲最好，没有也无所谓 4.保证4+64,2
37,想换手机大家有什么推荐？续航肯定要好，4000毫安以上，屏幕肯定要好。外观肯定要漂亮。预算4000之内。。,2
38,推荐个手机大佬们给我推荐个一千元左右的手机当备用机 谢谢(*°°)=3,2
39,请推荐一好的电池给我耀7吧有换过电池有体验的朋友推荐一下好吗?,2
40,想从极客版退回稳定版，求推荐版本大家给个观点，哪个版本流畅，省电，我不太关心系统是n.0,2
41,手机推荐推荐一款性能好的安卓,2
42,现在小七哪个版本比较流畅求推荐？现在小七哪个版本比较流畅求推荐？,2
43,6P用了2年多了 哪位推荐下一款？感觉有些落伍了机子卡存储空间不太够用 系统升级到6.0也不太好使机油们推荐一款呗 要有NFC功能的续航强流畅的,2
44,妈蛋的华为质量也不怎么样嘛，亏我还推荐那么多人买肿么发图？荣耀7，15年10月1号买的，现在摄像头坏了了，妈蛋的拍什么都糊,2
45,B395终于收到更新推荐了B395终于收到更新推荐了 更了再说,2
46,华为HUAWEI，希望我的推荐别成忽悠。。。N多年之前，可以说智能机没有出现的时候，我一直是一个星粉，随着科技发展，时代进步，我慢慢的發现星机没有好看的机型，此后有盖机，但卡顿厉害，价格还不菲。。待米机出现，我依依不舍，抱着试试的态度转为米粉，,2
47,这个推荐能取消吗有自带的为何要推荐,2
48,升到8.0后荣耀阅读推荐模块不能回到顶部。有和我一样問題的吗？,2
49,【华为应用下载推荐】阿卡索口语秀 就在你身边的口语专家是不是市场来了学习的念头却找不到学习的方向，好不容易找到了方向却没有方法，英语更加如此，周围不是英语环境。自己很难下手！阿卡索口语秀来帮你忙，看美剧视频、玩配音就能练习口语，摆脱书本练习单一枯燥、难以,2
50,求助，给我推荐一个room，谢谢是否有room能使微信时时接收消息的，手机微信一直锁屏后不能及时收到消息，请求推荐好的room和其它解决方法。,2
51,半年都没出现过附近推荐了，要怎么弄系统自动推荐的有半年没出现过了，想问下这要肿么操作才能让他出来？刚买来的时候去商场什么的有出现过几次。求解,2
52,最近有千元内的二手手机推荐吗？求助一下大家，我想买一个价格便宜的备用手机，不考虑品牌、销售平台等等这些外在因素，要求是外观好看，一年半以内新出的，返修率低的，在二手圈子里口碑比较好的...再说下去是不是显得要求太多了，我对游戏无所谓,2
53,元旦想换手机 这是所有安卓8.0手机 大家推荐买什么好？安卓8.0推出已近有几个月的时间了，但仍有多数厂家不支持安卓8.0，元旦想换手机，找出了所有支持安卓8.0的机型，求大家帮我推荐一款，理由是什么？这可能是谷歌亲儿子中的老前辈了，能支持安卓8.0也算良心了。nexus6,2
54,"推荐大家4款手机,既颜值高,又性能高咱们现在社会的高速发展，智能手机也在赓续的更新换代，手机市场上也赓续迸发出新生力量，能满足手机用户需求的前提下，各大手机的厂商也投入品牌建设服务，手机市场上有异常多的机型可供咱们抉择，不过咱们，可能很",2
55,体验无可挑剔 国产热门旗舰手机推荐近两年，随着旗舰手机在设计、创新方面愈加出色，所以有越来越多的消费者在购买手机时更倾向于选择中高端的旗舰产品。一分价钱一分货还是很有道理的，尤其是在手机上，旗舰机从外观到性能再到拍照，都可以满足绝大多,2
56,【MOTO玩机组】推荐收藏的小程序 详细解析有哪些是你真正需要的本帖最后由 小九现在特别困 于 2017-5-9 03:58 编辑 应用信息 小程序推荐 应用介绍 距离微信小程序的上线都已经有了三个多月了，在这三个多月当中，好像覆盖率还不是很理想，在你使用的时候是否有發现哪款小程序,2
57,如何使得不出现“推荐处理”？近来，出现“推荐处理”，肿么使得其不出现？,2
58,求推荐手机2500左右,2
59,纠结用什么版本了，大神们牛仔们进来推荐1.56 2.10 还有他俩的官改包像dk 冷幽手指哥 等等我到底应当刷哪个，1.56比2.10少了什么功能，没用过1.56。 注意:我的最后目的就是省电流畅，王者农药不卡【也不会出现20个电量就卡顿】没有重大 bug， 1.56官方 1.56,2
60,推荐一款Launcher给大家推荐下 微软的Arrow Launcher，我认为很方便使用。 把原生的界面直接卸载掉了~~ 哈哈,2
61,推荐一下推荐一部价格差不多的手机系统好性价比高的谢谢,2
62,大家有没有换过电池的。。求推荐一个电池真心废了。。,2
63,UI 5啊啊啊啊啊 推荐卸载是什么鬼 好恶心！！推荐卸载什么鬼、好恶心、肿么去除啊,2
64,"请大神们推荐Z17和一加5,哪个值得入手,看网上都说一加5信好吗,Z17电信卡讯号好不好,Z17mini我试过电信卡讯号不太好，以前小牛4打电话声高太小了,Z17还小吗",2
65,各位大神给我推荐一个卡想办张新卡，不知道何种合适，一个月二十左右话费…！,2
66,大家好，哪个版本的刷机包，照相效果好啊，求推荐刚入手时刷了一个个性包，照出来的照片甚比相机，求这版本刷机包，此后又刷了个版本，还双清了，以后照出效果差劲，还发暗！看后三张，图像比率缩小来，这是为何？,2
67,努比亚Z17mini和z11minis推荐一款，现用z7miniz7mini用了三年了，中间换了一次电池，现在想换一款带指纹的，z17mini和z11minis从拍照，流畅，续航，性价比，硬件选一个合适的吧，在农村nfc肯定用不到的，就上上微信，网页看看小说，玩一会手机游戏从Z9mini 到Z11,2
68,今天同事手机坏了帮她推荐minis今天同事手机坏了帮她推荐minis，她还是挺认可的。可惜京东四川地区无货。无奈1670选了华为6X。4G+64版的。实体店MM送货上门。minis口碑还是不错的，她打电话问的几个人都说性价比很好。,2
69,现在机子续航真心不行了，换电池有啥推荐？如题，暂时不想换机子,2
70,求推荐一个第三方屏幕的淘宝店屏幕碎了，没钱换原装，所以请换过Z9mini屏的牛仔推荐一下有哪家淘宝店的屏好，谢谢。,2
71,明天刷第三方 求推荐提示 我打王者,2
72,之前推荐朋友买nubia手机，现在他的手机卡成狗了，心里...之前推荐朋友买nubia手机，现在他的手机卡成狗了，心里过意不去啊，感觉把朋友拉入抗了,2
73,怎样关闭那个应用程序推荐。太烦。肿么样关闭那个应用程序推荐。太烦。,2
74,"版本升级推荐功能首先来说我是为了拍照才买的努比亚Z17mini,所以我就来说一下下一个系统版本的相机升级要改进哪几方面吧！我用这手机有一个多月了，对拍照我有很深的体会。相机家族里头的立体相机的拍摄时间太太短了，期望可以增大许",2
75,我使用，我喜欢，我推荐！【荣耀V8，我用，我推荐！】 http://cn.club.vmall.com/forum.php?mod=viewthread&tid=12848508 更多精彩请点击下载最新花粉俱乐部客户端： http://a.vmall.com/appdl/C10085602?cno=4030001&source=EMUICN,2
76,213版耗电特别厉害!推荐刷回165版!美酒婆到手后一直升级到213版，发觉耗电厉害，昨晚刷回165版，到现在还有68的电，就是流畅度不及213顺滑。,2
77,我的Xplay3s用了三年了，现在想换机，帮我推荐推荐！不知道买Xplay6好，还是x9pusl好。没用过曲屏，不知道xplay6曲屏手机好不好，就怕随便摔一下屏幕就碎了。我个人感觉吧曲屏不是很好看，这只是我个人的许多看法。 帮我参谋参谋，不要比我现在用的X520配置低了，致谢,2
78,"推荐xplay6，被朋友打脸，肿么破今天给朋友推荐xplay6,提及拍照也不错了，朋友让我拍一张名片充满画面，水果的机子整个画面对焦都是清晰的，xplay6确拍不好，边缘一直略糊的，肿么破？谁教教我，就是拿老iPad拍，边缘都是清晰的，哎，国产鸡鸡，任",2
79,vivo xplay6推荐屏保图片在哪？我想保存下来vivo xplay6屏保图片在哪？我想保存下来音质出色，比之前用的X5MAX推力明显大，买这个手机冲的就是音质，感谢步步高致力于高音质手机的研发，否则我可能只能带手机同时还带个播放器，而且即便那样，播放器寻找播放音,2
80,推荐机子确实方便使用还好看就是买早了 现在出来个黑色磨砂 好后悔呀 大爱黑色,2
81,谁能推荐一款手写笔我用的mate9手机，用那款手写笔好，最好性价比高的,2
82,1000多块钱的手机求推荐其他品牌也可以,2
83,【推荐】火蓝刀锋https://bbs.vivo.com.cn/forum.php?mod=viewthread&tid=3130494&from=vivospace上期俺们聊了《人民的名义》，这期俺们看看火蓝刀锋，可能有的人没看过，没事听我慢慢道来。 结语：蒋小鱼搞笑，会说，也很励志，有情,2
84,想换手机了，各位有什么推荐对荣耀没爱了，想换个手机，不知各位有什么推荐,2
85,推荐买电池去哪里买,2
86,求推荐一款可以同时双电信卡的手机。谢谢,2
87,哦，今天看到带v的推荐第三方包听说要停更了？我仅能说fuck you华为。真是**公司啊，一直如此，从我买来这手机，就感受到华为的服务的**了。真的很无语，这公司老板**是人吗？,2
88,求推荐……los，魔趣和aicp这三个那个好，玩过的推荐一下,2
89,换新机，入手一台千元机，大家有什么推荐一下吧换新机，想入手一台千元机，我喜欢刷机，轻度王者荣耀玩家，对其他没有什么要求，当然不优先考虑华为的手机，大家有什么推荐一下呗,2
90,大家都在用哪个版本，求推荐我的mate7用的571感觉又卡又不方便使用，刷了几个也认为哪个更好，大家现在都在用哪个版本，求推荐，谢谢！,2
91,"专业是通信周围人都听推荐买手机不升5.0不敢推荐华为专业是通信周围人都听推荐买手机，华为不升5.0及后续版本,不敢再推荐买华为，没有连续保障的产品会被人责骂。",2
92,以前朋友推荐用华为，现在我推荐别用华为美腿妻，对于华为进攻高端机，功不可没。没有美腿妻的功劳，绝对成就不了美腿狗。然而华为的冷漠不关心功臣，还把功臣打入冷宫，实在伤心。终止更新，就是让你退休等死，呼声一片视而不见，那个叫心寒。 华为你抛弃,2
93,求推荐笔记本电脑求推荐一款四千左右的笔记本，不玩游戏，平時也就看看电影，听听音乐，日常办公，屏幕在14左右吧,2
94,[推荐]这个暑假好剧多多哈哈哈，令人愉快的暑假到了,2
95,vivox6spulsA又有什么好的刷机包推荐吗？vivoX6SPULSA刷机,2
96,b171和b355推荐一个呗哪个更好呢,2
97,大家有没有好玩的单机手游戏，推荐一下，谢谢同标题,2
98,大家都升5.0了吗？感觉怎么样？推不推荐升级？如题！,2
99,手机坏了求推荐价格在三千一下，拍照功能强,2
100,带FM功能手机求推荐如题，请大神推荐下，最好全网通的，谢谢了,2
101,红米太 难买 谁推荐一个跟 红米差不多性能的现在 用 的 小米碎屏了 需要换 一个 吧,2
102,谁给推荐个质量好的千元机？最早买过N个小米，自用两个1S和2，给他人买了几个，此后老婆的2换成了vovi X5Pro，我1S的换成了一加一，一加一碎过两次屏之后，彻底出现了問題，有时候他人给我打电话，我根本就不知道，手机上也没有显示未接来电。,2
103,推荐分享两个设置，可以提高华为运行速度华为手机这两个最有用的优化功能，不开启就亏大了！ 手机上有许多的功能，其实我们都应当去挖掘，比如许多默认设定，往往对许多用户来说，其实可以进一步优化，让手机更方便使用许多。比如华为手机这2个优化。 1、系,2
104,为啥还是没推荐更新移动联通版的，到现在也没收到更新告知，我是不是买了假v8,2
105,心寒 V8 B377系统强制推荐应用！这搜狐新闻2个多月间弹出来了至少5次了，每次都移去除了结果今天还是弹出来了！！本來很喜欢华为的手机和系统的，结果搞这，有这么缺钱吗？？？,2
106,求推荐手机600-1000以内如标题，推荐一款手机。小米抢不到的。近似差不多的手机。,2
107,以后再也不敢推荐小米产品了，买了四台三台红米 3s 全网通都有通话問題！给爸妈买了两台，帮同事买了两台，结果同事两台和我妈的红米 3s 全网通 三部手机都有通话問題，许多时候通话听不到声音，查了查有的说是降噪的問題，结果还没有关闭的位置！真恶心！,2
108,求推荐 要不要升级系统以前只更新过几次 现在还是151 求推荐要不要更新系统,2
109,自己换屏的有哪家的比较不错，推荐下。红米四高配如题,2
110,抢不到的小米note特别版，准备放弃，有什么推荐吗？抢了n次都没抢到。每次看到淘宝上加价卖的都很郁闷，准备放弃，有什么好推荐吗？。。。。。忧伤。。。。1、双曲面屏幕、玻璃背板和圆滑的边角让这款手机手感极佳，不过个人来说这款手机还是有些偏薄了。（有些人说这,2
111,求推荐MIX不碎屏幕办法昨天刚换的屏，今天急刹车掉车上了，碎了。。我也是醉了。。。。500又没了,2
112,谷歌框架求推荐前天看到mix一眼头脑一热就下单了，今天到手，倒腾完应用才發现这手机没有google框架……之前用某为，官方直接内置的有，一下傻眼了。求那位大神推荐个这手机能用的包，万分致谢！,2
113,情人节推荐一款极具女神范儿的手机，堪称小米手机中的“雅典娜”白色款MIX问世再次引发一波抢购热潮，那白玉般的外观，让人欲罢不能，垂涎欲滴，老婆，女友，二奶，小三儿们都吵着要，怎奈僧多粥少，汉子们一次次努力抢购一次次又无功而返……本无心发帖，然而看到该款手机后让我,2
114,2月的GQ，有mix的推荐，但是居然被标注成诺基亚6。2月的GQ，有mix的推荐，但是居然被标注成诺基亚6，GQ的小编是科技白吗？,2
115,抢到了，吓得连配件都没买。推荐配件终于抢到了，吓得连配件都没敢选就直接付款了。推荐配件~~~,2
116,手机求推荐近来想入手一部小米手机，求推荐,2
117,想要小MCE16白色，求推荐手机要求价格2000左右吧白色正面指纹NFC我还喜欢玩游戏，所以较高性能闪充1.性价比高，试问835旗舰机 2499价除mi6谁能买到?2.系统强悍，MIUI9 的闪电不是虚吹的， QQ秒开 分屏模式玩Q看电影一点不卡，这需要很好的后台优,2
118,监管儿童玩手机游戏的有效方法？儿童手机有什么推荐？在如今社会，网络发达，信息泛滥，游戏多元化。加之手机的普及率高，手机游戏是越来越火。现在普遍的孩子更是拥有属于自己的一部手机，所以摆在我们眼前的問題是肿么监管好儿童玩手机游戏。一款游戏，就教坏了一代孩,2
119,求推荐一款小米或红米手机要求： 1 屏幕5.5或5.7，价格2000以内，4*64G或以上 2 强续航，中度用两天，重度用一天或16小时，我很少玩游戏 3 拍照效果要好，至少主摄像头要好，主要拍景和拍人 4 屏幕效果要好，要求鲜艳亮丽通透,2
120,小米5c好，还是小米5x好，请用过的大神推荐与指导小米5c好，还是小米5x好，请用过的大神推荐与指导，感谢,2
121,卧榻吗以后再不买小米了，也不推荐朋友亲戚买了如题，真糟心，米6发布会的时候就没手机用了，临时用个老年机，等了两个月才买到米6，这是何等的米粉？买回来挺好的，就是NFC不能用，折腾了好几次，更新系统也不行，也不是地区问题，小米5就能正常充值，公家卡放在,2
122,这款学生手机，老师家长都推荐！如果在前些年，你让老师推荐一款适合学生使用的手机，老师会告诉你，学生最好不要使用手机，因为学生使用手机一般都没什么好结果，不是让孩子沉迷于网络社交，就是让孩子沉迷于手机游戏，不管最终是哪一种，都会导致,2
123,大家推荐买5C吗？手里的4C快不行了如题，坛友给点意见，之前没关注过这款机子，昨天看看还不错,2
124,原来买过小米4真的挺好用的，有没有人推荐一款性价比的小米？小米6怎么样,2
125,小米6连接无线网络就自动弹出应用安装推荐小米6连接无线网络就自动弹出应用安装推荐，自动弹出整个界面，也找不到哪里的程序的（点开清内存的没看到半个程序），点取消或确定等下重新连了无线又自己出现了。安装了其中的一个应用也还是一样。上面中间的-是我,2
126,请推荐个小米5 miui7开发版最好用的版本1.请推荐个小米5 miui7开发版最好用的版本2.请问我现在是稳定版7.5.9，如何刷到开发版miui7？,2
127,小米全面屏很多，推荐这三部：卖点很突出小米是出了名的高产，今年每一个月都有新机跟大家见面，目前应该全面屏最多的品牌就是它了吧？当然在众多小米机型中，入手起来别盲目，还是比较推荐下面这三部，因为卖点都很突出：1：小米MIX2S作为小米MIX2的升级版,2
128,推荐几款适合老年人使用的手机手机经过这几年的发展，从最基本的打电话发短信到现在的玩游戏聊微信、各种app及支付功能，变为了无所不能的神器。当年轻人乐不思蜀的玩着手机时，可曾想过老年人的感受？由于老人们上了年纪以后视力和听力都有所下,2
129,邓超推荐4000万成像人脸识别全面屏，酷比S506M全面评测手机更新换代速度超过了使用速度，那么如何用最划算的钱买到最适合、最满意的手机呢。最新入手的这款酷比koobee S506M也许可以给你一些答案。这款手机配备了5.5英寸18:9高清全面屏，拍照成像高达4000万，放大16倍依,2
130,有没有什么好玩的大型单机，求推荐！！！如题,2
131,求推荐推荐一款能用华为闪充的移动电源，不要华为自己的品牌,2
132,大家帮我推荐个买128g内存卡的网店之前图廉价被坑了，有谁网上买过128g的储存卡，帮我推荐个呗，谢谢了,2
133,有没有手游推荐角色扮演类，单机网游都可以,2
134,小屏手机推荐一款小屏手机，推荐一款，,2
135,想在今年11月份购买新机，求推荐想在今年11月份购买新机，求推荐，三星S8，还有苹果7，与小米6，这三款，求推荐,2
136,求推荐一款手机自己的苹果6用了两年，现在总是觉得屏幕太小，想换个大屏点的。先不考虑继续用苹果，准备支持国产。这两天在oppor11plus和一加5之间犹豫，刚才又看到高占比屏的，犹豫中。求推荐一款性能高，高占比屏的手机。,2
137,荣耀电玩文明用语代理微信:xy77880123 推荐号：7755荣耀电玩文明用语代理微信:xy77880123 推荐号：7755.24小时在线手机捕鱼上下分，上下分捕鱼游戏，手机捕鱼游戏上下分游戏自然随机程序，爆率高，游戏运营稳定，,2
138,荣耀电玩的银商微信:xy77880123 推荐号：7755荣耀电玩的银商微信:xy77880123 推荐号：7755,2
139,准备入个单反求懂行的大神推荐一下预算7k左右吧，拿来拍着玩，主要是拍人用的(﹃)，在线等。,1
140,v9m9买那个，求推荐v9-6-64和m9-4-32求各位大大给介绍下,2
141,6p现在哪个版本的固件好用，高手们推荐一下6p现在哪个版本的固件好用，高手们推荐一下,2
142,求推荐一款千元机，本人学生一枚，游戏时间比较少（是比较少不是不玩）求推荐一款千元机。 谢谢,2
143,优秀的手机值得推荐这么良心的推荐不进来看看嘛既然说到性能，那在移动端，安卓阵营肯定少不了骁龙835。得益于最新的10nm工艺制程，使得835处理速度快27%，效率提升40%。 GPU为Adreno540，相较于上代，性能提升25%。这样的性能，也就保,2
144,手机推荐求推荐一下1000-1500之间续航好的手机,2
145,求推荐2000-3000质量好的品牌。。最好是近来出的手机，,2
146,"想换新华为，求推荐学生党喜欢玩王者，现在用的白色荣耀7i，感觉玩游戏老卡，那时也就是脑子一热买的，买完后看荣耀8魅海蓝的马上见异思迁了，后悔了早知道好好了解了解但还是忠实的花粉{:6_139:}现在准备换新华为，在mate9,magic和v9",2
147,原本推荐朋友买v9，草，浪费我表情你**搞个饥饿营销，草，几台手机抢都没抢到,2
148,V9作为阴阴师推荐用机有没有该游戏的专属礼包？V9作为阴阴师推荐用机是否有该游戏的专属礼包？有的话在哪领取？,2
149,推荐一个机子文明用语出的！,2
150,求推荐一部手机价格在1500-2000 玩游戏 看电视 主玩这两样,2
151,想入手一部千元机，16g，求推荐想入手比较好的千元机，求推荐,2
152,求推荐手机1500左右，女生用，4g64g 的，像素高一点,2
153,求推荐手机 来来来妹的 这手机越来越多 选择也越来越难 求推荐 考虑荣耀8和一加三 t 别的手机也不懂 价位也就这 求推荐,2
154,性价比高的学生手机推荐—小格雷学生手机不知道各位家长是否有感觉到，今年的手机卖场与以往有些不同了，以前的时候，让售卖人员为自己推荐一款学生使用的手机，他们首选的便是一些性价比高的手机，当然，这里所说的性价比往往是针对价格和功能而言的，,2
155,求大神给个意见 推荐一款小米5s plus 标配 全网通 荣耀8 4G 标配 全网通 荣耀v8 4G 标配 全网通 oppo A59s 标配 全网通 三星 C5pro 标配 全网通 华为P9 标配 全网通 华为麦芒5 高配 全网通 金立 S6 pro 全网通,2
156,孩子手机浏览不良信息？2017热门学生手机推荐“以前从来没有发现自家的孩子有这样的情况，他在家里总是表现得很乖很沉默，连老师都说他很乖，如果不是因为这次自己的手机没电了，拿他的手机来查东西，我还不知道他居然背着我们在手机上看这些乱七八糟的东西,2
157,求推荐手机有大神能推荐一个性价比比较高的手机么,2
158,请大家推荐一款符合我的要求手机要求：双卡双待，内存最少128G，电池待机时间长，大屏最少5寸，指纹识别，处理器好！,2
159,求推荐一款Android 手机这几年一直用苹果，已经有些乏味了。想入手一台Android手机，Google亲儿子Pixel 当然最好，可是价格偏贵，对于这种Android 新用户来说不是很划算。我的要求是要可以安装Google服务，能root能刷机，什么牌子好一些？,2
160,求推荐一个三千左右的手机在校学生，想买一个手机，求推荐，不要乐视，不要乐视，不要乐视！,2
161,求推荐一款手机 主要是拍照清晰的，价位是2500左右的求推荐一款手机 主要是拍照清晰的，价位是2500左右的，国外禁苹果，国产禁小米。O(∩_∩)O谢谢。,2
162,is放单公会哪个好之is106接待九月推荐手机性能有哪些比较好第一步：下载is语音　　第二步：进频道106房间　　第三步：进来打字找接待九月推荐　　第四步：九月担保你　　第五步：带你赚大钱　　第一步：下载is语音　　第二步：进频道106房间　　第三步：进来打字找接待九月,2
163,帮忙选一下手机推荐一下谢谢红米note4x高配版与魅族note5高配版哪一个好,2
164,4000元一下的手机，推荐一下吧，谢谢本人毕业生，想换个手机，但不知道换什么手机,2
165,求推荐一款2000左右的手机如题，要性能好的，价格2000左右就行,2
166,帮我推荐几款手机吧！5.5寸或以上的屏幕，推荐两款手机，我是大一学生，一款给我，一款给我父亲！再推荐一款给我母亲，屏幕无所谓，她喜欢听歌。,2
167,像荣耀8这么扛时候的手机你还推荐那台？对于大部分5.2英寸手机来说，目前电池容量大的可以达到3000mAh左右，荣耀8刚好3000mAh。假如今天我不用干活，或者我上课不打算听讲，那我的一天应该就是沉浸在游戏和视频的幸福时光中度过，所以这是重度用户一天的日,2
168,推荐手机一部内屏有线的二手三星s7edge 和一部全新的荣耀8青春版，我应该买哪一部手机？,2
169,除了大电池还有大内存 手机发烧友选机就要推荐Ta！今年有一部手机很厉害，从上市到现在一直都好评如潮。楼主身边也有不少朋友入手，用过一段时间后都表示：作为一部千元机型，它不但做到应有的外观和性能体验，更有超流畅的速度感和悉心护眼模式，真的可称谓是一款超,2
170,求推荐一部3000以下的手机，不打游戏如题，本人不打手游，但追求网速、信号、操作流畅度、主摄像头的像素、音效、屏幕5.2及以下，颜值高点更好,2
171,追剧手游沉浸式体验 5.5大屏千元机推荐！楼主马上就要大学毕业正式进入职场了，计划着换一部高颜值又功能强的手机。作为一名不想继续啃老，但经济又暂时不阔绰的职场新人，还是觉得千元档手机最适合我。当然作为凡事讲究理性的楼主而言，千元手机还是要有内,2
172,排位开黑Carry全场 大屏大内存千元机推荐！现如今各大主流手游的确是制作精良，可玩性强。尤其是《王者荣耀》、《阴阳师》这一类热门大作，不管平日多忙，楼主总要抽出点时间玩几局放松一下。很多时候，楼主更喜欢多人一起组队开战，团队作战气氛好而且彼此协,2
173,ISshua单放单哪个好之is106接待水清推荐手机性能有哪些比较好第一步：is语音　　第二步：进频道106房间　　第三步：进来打字找水清　　第四步：水清担保你　　第五步：带你赚大钱　　第一步：下载is语音　　第二步：进频道106房间　　第三步：进来打字找水清　　第四步：水清担,2
174,适合学生用的手机推荐孩子使用手机产生依赖症，很多家长都为之头疼，与孩子斗智斗勇的故事相当精彩，今天就给大家分享一个李小姐夫妻管教孩子用手机的故事，看看他们是怎么成功作到的。 我买了智能手机后，儿子很欣喜的过来看，我告诉他,2
175,is放单公会哪个好之is106接待水清推荐手机性能有哪些比较好第一步：下载is语音　　第二步：进频道106房间　　第三步：进来打字找水清　　第四步：水清担保你　　第五步：带你赚大钱　　第一步：下载is语音　　第二步：进频道106房间　　第三步：进来打字找水清　　第四步：水,2
