id,产品类型,价格,传感器尺寸,传感器描述,传感器类型,型号,快门类型,显示屏类型,最高分辨率,有效像素,tags
11,微单,2.23万,35.9x23.9mm,图像传感器格式：FX,CMOS,尼康Z7(单机),,触摸屏,,4575万,携带 便携性
12,微单,1.69万,全画幅（35.9*24mm）,,Exmor R CMOS,索尼A7RIII(单机),电子控制纵走式焦平面快门,触摸屏，旋转屏,,4240万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 外壳 机身 质地 携带 便携性
13,消费，卡片,3898,1英寸,,CMOS,佳能G7 X Mark II,,触摸屏，旋转屏，高清屏,5472×3648,2010万,菜单功能 按键 功能 携带 便携性 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 操作 操控性 可玩性 手感 触感 握感 握把 握持 质感 手柄 工艺 做工 设计
14,高端单反,5618,全画幅（35.8*23.9mm）,自动，手动，添加除尘数据,CMOS,佳能6D(单机),电子控制焦平面快门,高清屏,5472×3648,2020万,手感 触感 握感 握把 握持 质感 手柄 菜单功能 按键 功能 追焦 追踪 外壳 机身 质地 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 夜拍 感光 重量 分量
15,高端单反,1.13万,全画幅（35.9*24mm）,清洁影像传感器，图像除尘参考数据（需要“捕影工匠”软件）,CMOS,尼康D810(单机),电子控制纵走式焦平面快门，电子前帘快门（适用于反光板弹起释放模式）,高清屏,7360×4912,3635万,手感 触感 握感 握把 握持 质感 手柄 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 防抖性 防抖 机震 手握 持握 夜拍 感光 体积 厚度 噪音 声音
16,中端单反,6599,APS画幅（22.3*14.9mm）,,CMOS,佳能80D(单机),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,双卡 双待 追焦 追踪 使用体验 使用 结构 外形 外观 手感 触感 握感 握把 握持 质感 手柄
17,高端单反,9369,全画幅（35.9*24mm）,清洁影像传感器、图像除尘参考数据（需要捕影工匠软件）,CMOS,尼康D750(单机),电子控制纵走式焦平面快门,翻转屏，高清屏,6016×4016,2432万,手感 触感 握感 握把 握持 质感 手柄 菜单功能 按键 功能 外壳 机身 质地 工艺 做工 设计 体积 厚度 操作 操控性 可玩性 追焦 追踪
18,卡片，消费，三防,4499,1英寸（13.2*8.8mm）,,Exmor RS CMOS,索尼DSC-RX0M2,电子快门,旋转屏（上翻180度，下翻90度）,4800×3200,1530万,
19,高端单反,1.53万,全画幅（36*24mm）,自动，手动，添加除尘数据,CMOS,佳能5D Mark III(单机),电子控制焦平面快门,高清屏,5760×3840,2230万,使用体验 使用 操作 操控性 可玩性 蒙皮 风格 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 菜单功能 按键 功能 工艺 做工 设计 手感 触感 握感 握把 握持 质感 手柄
20,消费，卡片,6999,APS-C画幅,,CMOS,佳能G1 X Mark III,,,6000×4000,2420万,防抖性 防抖 机震 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 携带 便携性 体积 厚度 菜单功能 按键 功能
21,微单,3599,APS-C画幅（22.3*14.9mm）,,CMOS,佳能EOS M6套机(15-45mm IS STM),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,操作 操控性 可玩性 结构 外形 外观 携带 便携性 续航 电池 外壳 机身 质地 工艺 做工 设计
22,微单,4649,APS-C画幅（23.5*15.6mm）,,Exmor CMOS sensor,索尼A6300(单机),电子控制纵走式焦平面快门,旋转屏,6000×4000,2420万,外壳 机身 质地 结构 外形 外观 重量 分量 防水性 防尘 三防 防滑性 菜单功能 按键 功能 工艺 做工 设计
23,中端单反,5589,APS画幅（22.5*15mm）,除尘功能：自动，手动，添加除尘数据,CMOS,佳能70D(单机),电子控制焦平面快门,触摸屏，旋转屏，高清屏,5472×3648,2020万,操作 操控性 可玩性 手感 触感 握感 握把 握持 质感 手柄 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 工艺 做工 设计
24,微单,6899,APS-C画幅（23.5*15.6mm）,,Exmor CMOS sensor,索尼A6400(单机),电子控制纵走式焦平面快门,旋转屏,6000×4000,2420万,
25,入门单反,2649,APS画幅（23.5*15.6mm）,图像传感器清洁，气流控制系统，图像除尘参考数据（需搭配另购的Capture NX 2 软件）,CMOS,尼康D5300(单机),电子控制纵走式焦平面快门,旋转屏，高清屏,,2416万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 外壳 机身 质地 手感 触感 握感 握把 握持 质感 手柄
26,中端单反,4349,APS画幅（23.5*15.6mm）,,CMOS,尼康D7200(单机),电子控制纵走式焦平面快门,高清屏,6000×4000,2416万,手感 触感 握感 握把 握持 质感 手柄 操作 操控性 可玩性 重量 分量 结构 外形 外观 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
27,微单,1.15万,4/3画幅（17.3*13mm）,,Live MOS,松下GH5(单机),电子控制纵走式焦平面快门,触摸屏,,2030万,结构 外形 外观 操作 操控性 可玩性
28,微单,9799,全画幅（35.9*24mm）,长宽比：3：2,Exmor R CMOS,索尼A7RII(单机),电子控制纵走式焦平面快门,旋转屏,,4240万,外壳 机身 质地 防抖性 防抖 机震
29,入门单反,4499,APS-C画幅（22.3*14.9mm）,,CMOS,佳能800D(单机),电子控制纵走式焦平面快门,触摸屏,6000×4000,2420万,外壳 机身 质地 菜单功能 按键 功能 使用体验 使用
30,消费，专业,6299,1/2.3英寸,6.2×4.7mm,CMOS,尼康P1000,机械和CMOS电子快门,宽视角TFT LCD显示屏，带防反射涂层和5档亮度调节，可翻转TFT LCD显示屏,,1605万,操作 操控性 可玩性 外壳 机身 质地
31,微单,7499,全画幅（35.8*23.9mm）,,Exmor CMOS,索尼A7 II(单机),电子控制纵走式焦平面快门,旋转屏，高清屏,6000×4000,2430万,工艺 做工 设计 操作 操控性 可玩性 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 手感 触感 握感 握把 握持 质感 手柄
32,高端单反,5699,全画幅（35.9*24mm）,清洁图像传感器、图像除尘参考数据（需要另购的Capture NX 2 软件）,CMOS,尼康D610(单机),电子控制纵走式焦平面快门,高清屏,6016×4016,2426万,外壳 机身 质地 菜单功能 按键 功能 手感 触感 握感 握把 握持 质感 手柄 工艺 做工 设计 操作 操控性 可玩性
33,微单,3099,APS画幅（23.5*15.6mm）,,Exmor APS HD CMOS,索尼ILCE-6000(单机),电子控制纵走式焦平面快门,高清屏，翻转屏,6000×4000,2430万,手感 触感 握感 握把 握持 质感 手柄 失败率 外壳 机身 质地 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 追焦 追踪 操作 操控性 可玩性 防抖性 防抖 机震
34,微单,2.92万,中画幅（43.8*32.9mm）,,CMOS,富士GFX 50R,焦平面快门,触摸屏,,5000万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 重量 分量 携带 便携性 防水性 防尘 三防 防滑性 工艺 做工 设计 体积 厚度 手感 触感 握感 握把 握持 质感 手柄 使用体验 使用
35,微单,1.9万,,全画幅CMOS,CMOS,佳能EOS R套机(RF 24-105mm F4 IS USM),,翻转触摸屏,,3030万,工艺 做工 设计 操作 操控性 可玩性 使用体验 使用 体积 厚度 手感 触感 握感 握把 握持 质感 手柄 携带 便携性 外壳 机身 质地 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
36,微单,1.62万,35.9*24mm,"长宽比：3:2
除尘功能：自动、添加除尘数据",CMOS（支持全像素双核CMOS AF）,佳能EOS RP套机（FR24-105mm f/4）,电子控制焦平面快门,触摸屏,6240×4160,2620万,外壳 机身 质地 携带 便携性 使用体验 使用 工艺 做工 设计 菜单功能 按键 功能 防抖性 防抖 机震
37,微单,3199,APS-C画幅（22.3*14.9mm）,,CMOS,佳能EOS M6(单机),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,操作 操控性 可玩性 结构 外形 外观 携带 便携性 续航 电池 外壳 机身 质地 工艺 做工 设计
38,消费，卡片,7599,1英寸,Exmor RS CMOS 传感器,CMOS,索尼RX100 VI,触摸快门,,,2010万,
39,高端单反,3.37万,全画幅（35.9*23.9mm）,,CMOS,尼康D5(单机),电子控制纵走式焦平面快门,触摸屏,5568×3712,2082万,追焦 追踪 工艺 做工 设计 携带 便携性 夜拍 感光 操作 操控性 可玩性
40,三防,3.98万,,,CMOS,徕卡Q2,机械快门，电子快门或混合选择,高清屏，触摸屏,8368×5584,4730万,
41,消费，卡片,即将上市,23.5×15.6mm,,CMOS,理光GR III,,触摸屏,6000×4000,2400万,
42,消费，卡片，长焦,1.05万,1英寸（13.2*8.8mm）,,Exmor RS CMOS,索尼RX10 IV,电子快门,旋转屏,5472×3648,2010万,防抖性 防抖 机震
43,微单，无反,6100,APS画幅,"APS-C X-Trans CMOS 4
传感器清洁系统：超声波振动",CMOS,富士X-T30(单机),机械快门,触控翻折屏,,2610万,
44,微单,1.15万,4/3画幅（17.3*13mm）,,Live MOS,松下G9,电子控制纵走式焦平面快门,旋转屏,5184×3888,2033万,
45,中端单反,4599,APS-C画幅（22.3*14.9mm）,,CMOS,佳能EOS 77D(单机),电子控制纵走式焦平面快门,触摸屏,6000×4000,2420万,
46,高端单反,8499,全画幅（35.9*24mm）,清洁图像传感器，图像除尘参考数据（需要另购的Capture NX 2软件））,CMOS,尼康D800(单机),电子控制纵走式焦平面快门,高清屏,7360×4912,3630万,工艺 做工 设计 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 使用体验 使用 追焦 追踪 手感 触感 握感 握把 握持 质感 手柄
47,中端单反,8399,APS画幅（22.3*14.9mm）,,CMOS,佳能80D套机(EF-S 18-135mm IS USM),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,双卡 双待 追焦 追踪 使用体验 使用 结构 外形 外观 手感 触感 握感 握把 握持 质感 手柄
48,高端单反,3.6万,全画幅（35.9*23.9mm）,长宽比：3:2,CMOS,佳能EOS-1D X Mark II(单机),电子控制纵走式焦平面快门,触摸屏,5472×3648,2020万,噪音 声音 菜单功能 按键 功能
49,卡片，消费,2149,1英寸（13.2*8.8mm）,,Exmor CMOS,索尼RX100,,,5472×3648,2020万,菜单功能 按键 功能 外壳 机身 质地 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 工艺 做工 设计 操作 操控性 可玩性 手感 触感 握感 握把 握持 质感 手柄
50,消费，长焦,即将上市,,,Live MOS,松下FZ1000 II,机械电子快门,旋转屏，高清屏，触摸屏,4608×3456,2010万,
51,微单,7130,APS-C画幅（23.5*15.6mm）,,Exmor CMOS,索尼A6500（单机）,电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 菜单功能 按键 功能 工艺 做工 设计
52,微单,2.35万,全画幅（35.9*24mm）,,Exmor R CMOS,索尼A7RIII套机(FE 24-70mm GM),电子控制纵走式焦平面快门,触摸屏，旋转屏,,4240万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 外壳 机身 质地 携带 便携性
53,微单,2879,APS-C画幅（22.3*14.9mm）,,CMOS,佳能EOS M100套机(15-45mm IS STM),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,工艺 做工 设计 外壳 机身 质地 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 操作 操控性 可玩性 结构 外形 外观
54,中端单反,8499,APS-C画幅（22.4*15mm）,自动，手动，添加除尘数据,CMOS,佳能7D Mark II(单机),电子控制焦平面快门,高清屏,5472×3648,2020万,外壳 机身 质地 使用体验 使用 手感 触感 握感 握把 握持 质感 手柄 菜单功能 按键 功能
55,高端单反,1.5万,全画幅（36*24mm）,自动，手动，添加除尘数据,CMOS,佳能5Ds R(单机),电子控制焦平面快门,高清屏,8688×5792,5060万,手感 触感 握感 握把 握持 质感 手柄 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
56,高端单反,5.65万,全画幅（35.9*23.9mm）,,CMOS,尼康D850套机(14-24mm f/2.8G，24-70mm f/2.8E VR， 70-200mm f/2.8E VR),电子控制纵走式焦平面快门,触摸屏，旋转屏,8256×5504,4575万,噪音 声音 手感 触感 握感 握把 握持 质感 手柄 菜单功能 按键 功能 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 工艺 做工 设计 追焦 追踪
57,微单,3.37万,全画幅,,CMOS,徕卡Q(Typ 116),机械电子快门,,,2420万,工艺 做工 设计 重量 分量
58,,即将上市,（1/2.3）英寸,,,松下TZ95（ZS80）,机械电子快门,触摸屏，翻转屏,,2030万,
59,入门单反,6699,APS-C画幅（22.3*14.9mm）,,CMOS,佳能800D套机(18-135mm IS STM),电子控制纵走式焦平面快门,触摸屏,6000×4000,2420万,外壳 机身 质地 菜单功能 按键 功能 使用体验 使用
60,中端单反,8399,APS画幅（22.3*14.9mm）,,CMOS,佳能80D套机(EF-S 18-200mm IS),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,双卡 双待 追焦 追踪 使用体验 使用 结构 外形 外观 手感 触感 握感 握把 握持 质感 手柄
61,入门单反,3799,APS画幅（22.3*14.9mm）,除尘功能：自动，手动，添加除尘数据,CMOS,佳能750D(单机),电子控制焦平面快门,高清屏,6000×4000,2420万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 菜单功能 按键 功能 外壳 机身 质地
62,入门单反,4599,APS-C画幅（22.3*14.9mm）,,CMOS,佳能800D套机(18-55mm IS STM),电子控制纵走式焦平面快门,触摸屏,6000×4000,2420万,外壳 机身 质地 菜单功能 按键 功能 使用体验 使用
63,入门单反,1999,APS画幅（23.5*15.6mm）,,CMOS,尼康D3400(单机),电子控制纵走式焦平面快门,,,2416万,工艺 做工 设计 续航 电池
64,高端单反,8999,APS-C画幅（23.5*15.7mm）,,CMOS,尼康D500(单机),电子控制纵走式焦平面快门,触摸屏，翻折屏,5568×3712,2088万,重量 分量 工艺 做工 设计 外壳 机身 质地
65,入门单反,即将上市,APS-C画幅（22.3*14.9mm）,"长宽比：3:2
除尘功能：自动、添加除尘数据",CMOS（支持全像素双核CMOS AF）,佳能EOS 200D II,电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2410万,
66,入门单反,2199,APS画幅（23.2*15.4mm）,影像感应器清洁，影像除尘参照数据（需要可选择的Capture NX 2软件）,CMOS,尼康D3200(单机),电子控制纵走式焦平面快门,高清屏,6016×4000,2416万,工艺 做工 设计 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 外壳 机身 质地
67,微单,5999,全画幅（35.8*23.9mm）,,Exmor CMOS,索尼ILCE-7(单机),电子控制纵走式焦平面快门,旋转屏，高清屏,6000×4000,2430万,操作 操控性 可玩性 追焦 追踪 体积 厚度 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
68,微单,3999,APS-C画幅（22.3*14.9mm）,,CMOS,佳能EOS M5(单机),电子控制纵走式焦平面快门,触摸屏，旋转屏,,2420万,工艺 做工 设计 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 手感 触感 握感 握把 握持 质感 手柄 体积 厚度 使用体验 使用 外壳 机身 质地
69,消费，卡片,3398,1英寸,,CMOS,松下LX10,,触摸屏，旋转屏，高清屏,5472×3648,2010万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 续航 电池
70,消费，广角,8999,4/3英寸,原色滤镜,CMOS,徕卡D-lux7,机械快门，电子快门,高清屏,3648×2736,1700万,
71,卡片，消费，专业,3599,1英寸（13.2*8.8mm）,,Exmor R CMOS,索尼RX100 III,,翻转屏,5472×3648,2010万,使用体验 使用 菜单功能 按键 功能 携带 便携性 工艺 做工 设计
72,微单,1.58万,全画幅（35.6*23.8mm）,,Exmor CMOS,索尼A7SII(单机),电子控制纵走式焦平面快门,翻转屏，高清屏,4240×2832,1220万,
73,微单,7490,APS-C画幅（23.6*15.6mm）,,X-Trans CMOS III,富士X-T2(单机),电子控制纵走式焦平面快门,旋转屏,6000×4000,2430万,携带 便携性 手感 触感 握感 握把 握持 质感 手柄
74,高端单反,4.26万,24*36mm,,CMOS,徕卡M10-P,机械快门,,,5976万,
75,微单,2200,APS-C画幅（22.3*14.9mm）,,CMOS,佳能EOS M100(单机),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,工艺 做工 设计 外壳 机身 质地 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 操作 操控性 可玩性 结构 外形 外观
76,消费，长焦,2299,1/2.3英寸,,Exmor R CMOS,索尼HX400,,旋转屏，高清屏,5184×3456,2040万,操作 操控性 可玩性 防抖性 防抖 机震 工艺 做工 设计
77,卡片,4079,23.7×15.7mm,,CMOS,理光GR II,,高清屏,,1620万,携带 便携性 菜单功能 按键 功能 操作 操控性 可玩性
78,中端单反,8699,APS-C画幅（23.5*15.7mm）,,CMOS,尼康D7500套机(18-140mm ED VR),电子控制纵走式焦平面快门，电子前帘快门（适用于反光板弹起释放模式）,触摸屏，旋转屏,5568×3712,2088万,追焦 追踪 手感 触感 握感 握把 握持 质感 手柄
79,微单,1.64万,全画幅（35.6*23.8mm）,,CMOS,松下LUMIX S1（单机）,,三向翻转屏幕,,2400万,
80,微单,5099,APS-C画幅（23.6*15.6mm）,,X-Trans CMOS III,富士X-T20(单机),电子控制纵走式焦平面快门,旋转屏,,2430万,操作 操控性 可玩性 体积 厚度 手感 触感 握感 握把 握持 质感 手柄
81,高端单反,38万,中画幅（53.4*40.0mm）,,CMOS,哈苏H6D-400C MS,,触摸屏,,40000万,
82,高端单反,1.27万,全画幅（36*24mm）,自动，手动，添加除尘数据,CMOS,佳能5Ds(单机),电子控制焦平面快门,高清屏,,5060万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 续航 电池
83,入门单反,3599,APS画幅（23.5*15.6mm）,,CMOS,尼康D5600(单机),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2416万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 菜单功能 按键 功能 外壳 机身 质地
84,微单,2.42万,全画幅（36*24mm）,,CMOS,松下LUMIX S1R（单机）,,三向翻转屏幕,,4700万,
85,入门单反,2780,APS-C画幅,,CMOS,尼康D3500(单机),,,,2400万,
86,消费，长焦,3679,1/2.3英寸,,CMOS,尼康P900s,机械电子快门,旋转屏，高清屏,4608×3456,1605万,菜单功能 按键 功能 防抖性 防抖 机震 工艺 做工 设计 体积 厚度 结构 外形 外观
87,卡片,7498,APS-C画幅（23.6*15.6mm）,,X-Trans CMOS III,富士X100F,,,6000×4000,2430万,夜拍 感光
88,高端单反,2.25万,全画幅（36*24mm）,,CMOS,佳能5D Mark IV套机(24-105mm),电子控制纵走式焦平面快门,触摸屏,6720×4480,3040万,结构 外形 外观 蒙皮 风格 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 菜单功能 按键 功能
89,微单,2448,APS画幅（23.5*15.6mm）,,Exmor APS HD CMOS,索尼ILCE-5100套机(16-50mm),电子控制纵走式焦平面快门,触摸屏，翻转屏，高清屏,,2430万,夜拍 感光 使用体验 使用 操作 操控性 可玩性 追焦 追踪
90,消费，专业,1.9万,3/2全画幅（35.9*24.0mm）,,Exmor R CMOS,索尼RX1R II,,旋转屏,,4240万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 外壳 机身 质地
91,入门单反,2869,APS画幅（22.3*14.9mm）,自动，手动，添加除尘数据,CMOS,佳能100D(单机),电子控制焦平面快门,触摸屏，高清屏,5184×3456,1800万,手感 触感 握感 握把 握持 质感 手柄 结构 外形 外观 噪音 声音 携带 便携性
92,微单,1.12万,APS-C画幅（23.5*15.6mm）,,X-Trans CMOS III,富士X-H1,电子控制纵走式焦平面快门,触摸屏,,2430万,手感 触感 握感 握把 握持 质感 手柄 携带 便携性 操作 操控性 可玩性
93,高端单反,9900,全画幅（35.9*24mm）,清洁图像传感器，图像除尘参考数据（需要另购的Capture NX 2软件））,CMOS,尼康D800E(单机),电子控制纵走式焦平面快门,高清屏,7360×4912,3630万,工艺 做工 设计 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 使用体验 使用 追焦 追踪 手感 触感 握感 握把 握持 质感 手柄
94,高端单反,1.52万,全画幅（35.9*24mm）,,CMOS,佳能6D Mark II套机(24-105mm II USM),电子控制纵走式焦平面快门,触摸屏,6240×4160,2620万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 工艺 做工 设计 外壳 机身 质地 操作 操控性 可玩性 携带 便携性 使用体验 使用 手感 触感 握感 握把 握持 质感 手柄
95,旁轴数码,5.3万,24×36mm,全画幅CMOS传感器,CMOS,徕卡M10(单机),,,5976×3992,2400万,
96,高端单反,14.55万,中画幅（30*45mm）,,CMOS,徕卡S(Typ 007),,高清屏,,3750万,续航 电池
97,消费，卡片,5488,1英寸（13.2*8.8mm）,,Exmor RS CMOS,索尼RX100 V,电子快门,旋转屏,5472×3648,2010万,
98,微单,2.45万,全画幅（35.6*23.8mm）,,Exmor RS CMOS,索尼ILCE-9(单机),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,
99,微单,3000,APS画幅（22.3*14.9mm）,除尘功能：开启/关闭电源时，可自动或手动实施,CMOS,佳能EOS M3套机(18-55mm),电子控制焦平面快门,触摸屏，高清屏,6000×4000,2420万,操作 操控性 可玩性 工艺 做工 设计 体积 厚度 菜单功能 按键 功能
100,入门单反,2679,APS画幅（23.5*15.6mm）,清洁图像传感器、图像除尘参考数据（需要另购的Capture NX 2 软件）,CMOS,尼康D5200(单机),电子控制纵走式焦平面快门,旋转屏，高清屏,,2410万,材质 用料 外壳 机身 质地 夜拍 感光 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 菜单功能 按键 功能 操作 操控性 可玩性
101,中端单反,6399,APS画幅（23.5*15.6mm）,,CMOS,尼康D7200套机(18-140mm),电子控制纵走式焦平面快门,高清屏,6000×4000,2416万,手感 触感 握感 握把 握持 质感 手柄 操作 操控性 可玩性 重量 分量 结构 外形 外观 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
102,高端单反,9999,全画幅（35.9*24mm）,,CMOS,宾得K-1(单机),电子控制纵走式焦平面快门,旋转屏，高清屏,7360×4912,3640万,外壳 机身 质地 防抖性 防抖 机震 菜单功能 按键 功能 工艺 做工 设计 手感 触感 握感 握把 握持 质感 手柄 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
103,微单,3.6万,中画幅（43.8*32.9mm）,,CMOS,富士GFX 50S,电子控制纵走式焦平面快门,触摸屏，旋转屏,8256×6192,5140万,
104,高端单反,1.79万,全画幅（36*23.9mm）,图像传感器清洁、图像除尘参考数据（需搭配另购的Capture NX 2 软件）,CMOS,尼康D4(单机),电子控制纵走式焦平面快门,,4928×3280,1625万,手感 触感 握感 握把 握持 质感 手柄 菜单功能 按键 功能 结构 外形 外观 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 工艺 做工 设计
105,卡片,2599,1/2.3英寸,,CMOS,佳能SX740 HS,,,5184×3888,2030万,
106,入门单反,4399,APS画幅（22.3*14.9mm）,除尘功能：自动，手动，添加除尘数据,CMOS,佳能760D(单机),电子控制焦平面快门,高清屏,6000×4000,2420万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 外壳 机身 质地 工艺 做工 设计 操作 操控性 可玩性 结构 外形 外观
107,微单,7.29万,中画幅（43.8*32.9mm）,,CMOS,哈苏X1D-50C,,触摸屏,,5000万,手感 触感 握感 握把 握持 质感 手柄
108,消费，卡片，专业,3829,1英寸（13.2*8.8mm）,,CMOS,佳能G7 X,,翻转屏,5472×3648,2020万,手感 触感 握感 握把 握持 质感 手柄 工艺 做工 设计 携带 便携性 使用体验 使用 操作 操控性 可玩性
109,高端单反,2.14万,全画幅（36.0*23.9mm）,清洁影像传感器、图像除尘参考数据,,尼康D4s(单机),,高清屏,4928×3280,1623万,工艺 做工 设计 手感 触感 握感 握把 握持 质感 手柄
110,微单,2599,APS画幅（23.2*15.4mm）,,Exmor APS HD CMOS,索尼ILCE-5000套机(E PZ 16-50mm),电子控制纵走式焦平面快门,翻转屏,5456×3632,2010万,外壳 机身 质地 手感 触感 握感 握把 握持 质感 手柄 菜单功能 按键 功能
111,消费，长焦，广角,4799,1英寸（13.2*8.8mm）,,背照式CMOS（Exmor R CMOS）,索尼RX10,,旋转屏，高清屏,5472×3648,2020万,防抖性 防抖 机震 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 重量 分量 操作 操控性 可玩性
